Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 24Jan23 XETR 76,500 19.15947 EUR XETR
Frei verwendbar 2023-01-24T09:44:10.11Z 192 19.25500 EUR XETR
2023-01-24T09:45:40.56Z 133 19.24000 EUR XETR
2023-01-24T09:45:50.75Z 131 19.22500 EUR XETR
2023-01-24T09:48:34.70Z 80 19.24000 EUR XETR
2023-01-24T09:48:34.71Z 9 19.24000 EUR XETR
2023-01-24T09:48:34.71Z 178 19.24000 EUR XETR
2023-01-24T09:50:04.17Z 167 19.24500 EUR XETR
2023-01-24T09:51:48.15Z 135 19.27000 EUR XETR
2023-01-24T09:51:50.47Z 189 19.27000 EUR XETR
2023-01-24T09:53:19.61Z 253 19.28000 EUR XETR
2023-01-24T09:53:42.74Z 276 19.27500 EUR XETR
2023-01-24T09:55:35.00Z 133 19.28500 EUR XETR
2023-01-24T09:56:21.45Z 131 19.28500 EUR XETR
2023-01-24T09:56:31.76Z 156 19.30000 EUR XETR
2023-01-24T09:56:37.88Z 221 19.29000 EUR XETR
2023-01-24T09:58:02.45Z 133 19.28000 EUR XETR
2023-01-24T09:59:35.30Z 167 19.24500 EUR XETR
2023-01-24T10:01:01.19Z 161 19.27500 EUR XETR
2023-01-24T10:02:21.32Z 243 19.29000 EUR XETR
2023-01-24T10:03:33.42Z 132 19.28500 EUR XETR
2023-01-24T10:04:33.62Z 18 19.29000 EUR XETR
2023-01-24T10:04:33.62Z 166 19.29000 EUR XETR
2023-01-24T10:05:43.64Z 184 19.29000 EUR XETR
2023-01-24T10:06:54.07Z 131 19.27500 EUR XETR
2023-01-24T10:07:17.96Z 147 19.28000 EUR XETR
2023-01-24T10:07:49.42Z 136 19.28500 EUR XETR
2023-01-24T10:09:40.57Z 131 19.28500 EUR XETR
2023-01-24T10:10:08.07Z 167 19.29500 EUR XETR
2023-01-24T10:10:20.22Z 188 19.27000 EUR XETR
2023-01-24T10:11:02.59Z 132 19.27500 EUR XETR
2023-01-24T10:12:46.36Z 132 19.26000 EUR XETR
2023-01-24T10:15:23.96Z 136 19.24500 EUR XETR
2023-01-24T10:16:00.13Z 231 19.25000 EUR XETR
2023-01-24T10:17:31.66Z 131 19.24500 EUR XETR
2023-01-24T10:19:15.72Z 149 19.25500 EUR XETR
2023-01-24T10:20:58.64Z 136 19.26000 EUR XETR
2023-01-24T10:20:58.65Z 136 19.26500 EUR XETR
2023-01-24T10:21:30.35Z 214 19.26000 EUR XETR
2023-01-24T10:23:18.15Z 279 19.25000 EUR XETR
2023-01-24T10:28:00.68Z 279 19.26000 EUR XETR
2023-01-24T10:28:00.68Z 287 19.27500 EUR XETR
2023-01-24T10:28:02.77Z 288 19.27500 EUR XETR
2023-01-24T10:28:35.76Z 189 19.27500 EUR XETR
2023-01-24T10:31:22.00Z 75 19.26500 EUR XETR
2023-01-24T10:32:52.28Z 143 19.28000 EUR XETR
2023-01-24T10:33:04.00Z 56 19.27000 EUR XETR
2023-01-24T10:33:04.00Z 133 19.27000 EUR XETR
2023-01-24T10:33:06.96Z 131 19.26500 EUR XETR
2023-01-24T10:36:27.54Z 308 19.25500 EUR XETR
2023-01-24T10:38:46.68Z 205 19.25000 EUR XETR
2023-01-24T10:38:46.70Z 141 19.25000 EUR XETR
2023-01-24T10:41:20.29Z 240 19.24000 EUR XETR
2023-01-24T10:42:11.51Z 155 19.21500 EUR XETR
2023-01-24T10:42:40.80Z 209 19.19000 EUR XETR
2023-01-24T10:43:27.95Z 132 19.13000 EUR XETR
2023-01-24T10:44:49.99Z 131 19.12500 EUR XETR
2023-01-24T10:46:00.07Z 198 19.11000 EUR XETR
2023-01-24T10:48:28.13Z 131 19.11500 EUR XETR
2023-01-24T10:48:45.23Z 188 19.10500 EUR XETR
2023-01-24T10:50:26.46Z 134 19.10000 EUR XETR
2023-01-24T10:52:56.11Z 131 19.10000 EUR XETR
2023-01-24T10:54:04.26Z 231 19.09500 EUR XETR
2023-01-24T10:55:54.17Z 172 19.12500 EUR XETR
2023-01-24T10:57:57.70Z 142 19.12000 EUR XETR
2023-01-24T10:59:08.70Z 131 19.12000 EUR XETR
2023-01-24T11:00:02.48Z 167 19.13000 EUR XETR
2023-01-24T11:01:31.09Z 175 19.12500 EUR XETR
2023-01-24T11:02:56.49Z 131 19.09000 EUR XETR
2023-01-24T11:06:00.41Z 168 19.07500 EUR XETR
2023-01-24T11:06:23.73Z 302 19.07000 EUR XETR
2023-01-24T11:07:14.77Z 236 19.05000 EUR XETR
2023-01-24T11:11:42.48Z 218 19.07000 EUR XETR
2023-01-24T11:13:38.04Z 175 19.07000 EUR XETR
2023-01-24T11:15:42.67Z 161 19.07500 EUR XETR
2023-01-24T11:15:51.32Z 237 19.07000 EUR XETR
2023-01-24T11:18:14.82Z 187 19.07000 EUR XETR
2023-01-24T11:19:21.41Z 228 19.07000 EUR XETR
2023-01-24T11:21:58.68Z 28 19.11000 EUR XETR
2023-01-24T11:21:58.68Z 111 19.11000 EUR XETR
2023-01-24T11:22:22.40Z 148 19.14500 EUR XETR
2023-01-24T11:22:22.42Z 137 19.13500 EUR XETR
2023-01-24T11:25:20.24Z 217 19.09000 EUR XETR
2023-01-24T11:27:43.98Z 61 19.11500 EUR XETR
2023-01-24T11:27:43.98Z 77 19.11500 EUR XETR
2023-01-24T11:27:43.98Z 77 19.11500 EUR XETR
2023-01-24T11:29:37.36Z 180 19.15000 EUR XETR
2023-01-24T11:30:23.16Z 149 19.19500 EUR XETR
2023-01-24T11:32:02.07Z 131 19.18500 EUR XETR
2023-01-24T11:33:13.95Z 209 19.23500 EUR XETR
2023-01-24T11:35:10.40Z 260 19.27500 EUR XETR
2023-01-24T11:36:17.78Z 186 19.28500 EUR XETR
2023-01-24T11:37:45.80Z 133 19.27500 EUR XETR
2023-01-24T11:39:57.01Z 141 19.28500 EUR XETR
2023-01-24T11:41:18.28Z 239 19.35500 EUR XETR
2023-01-24T11:43:40.08Z 3 19.36500 EUR XETR
2023-01-24T11:43:40.08Z 135 19.36500 EUR XETR
2023-01-24T11:44:41.92Z 246 19.38500 EUR XETR
2023-01-24T11:46:47.58Z 53 19.37500 EUR XETR
2023-01-24T11:46:47.58Z 78 19.37500 EUR XETR
2023-01-24T11:47:30.22Z 198 19.39500 EUR XETR
2023-01-24T11:48:30.41Z 186 19.39500 EUR XETR
2023-01-24T11:49:55.95Z 172 19.41000 EUR XETR
2023-01-24T11:52:35.56Z 240 19.42500 EUR XETR
2023-01-24T11:54:20.11Z 145 19.40500 EUR XETR
2023-01-24T11:57:34.49Z 20 19.35000 EUR XETR
Frei verwendbar 2023-01-24T11:58:06.84Z 213 19.35000 EUR XETR
2023-01-24T11:58:44.59Z 162 19.34000 EUR XETR
2023-01-24T12:02:33.13Z 98 19.31500 EUR XETR
2023-01-24T12:02:33.13Z 100 19.31500 EUR XETR
2023-01-24T12:02:38.37Z 135 19.31000 EUR XETR
2023-01-24T12:03:20.42Z 132 19.34000 EUR XETR
2023-01-24T12:03:54.37Z 136 19.34500 EUR XETR
2023-01-24T12:06:08.14Z 215 19.38500 EUR XETR
2023-01-24T12:08:36.48Z 210 19.38500 EUR XETR
2023-01-24T12:09:50.57Z 20 19.39000 EUR XETR
2023-01-24T12:09:50.57Z 38 19.39000 EUR XETR
2023-01-24T12:09:50.57Z 78 19.39000 EUR XETR
2023-01-24T12:09:50.57Z 115 19.39000 EUR XETR
2023-01-24T12:13:04.76Z 285 19.39000 EUR XETR
2023-01-24T12:14:40.62Z 203 19.38000 EUR XETR
2023-01-24T12:18:48.96Z 50 19.37500 EUR XETR
2023-01-24T12:18:48.96Z 219 19.37500 EUR XETR
2023-01-24T12:21:37.87Z 195 19.36000 EUR XETR
2023-01-24T12:22:52.84Z 218 19.35500 EUR XETR
2023-01-24T12:26:01.43Z 131 19.32500 EUR XETR
2023-01-24T12:27:59.45Z 190 19.30500 EUR XETR
2023-01-24T12:29:51.86Z 177 19.28500 EUR XETR
2023-01-24T12:32:08.49Z 131 19.26500 EUR XETR
2023-01-24T12:34:13.16Z 190 19.22500 EUR XETR
2023-01-24T12:37:45.54Z 47 19.22000 EUR XETR
2023-01-24T12:37:45.54Z 163 19.22000 EUR XETR
2023-01-24T12:39:32.25Z 47 19.21000 EUR XETR
2023-01-24T12:39:32.25Z 85 19.21000 EUR XETR
2023-01-24T12:40:40.85Z 131 19.18000 EUR XETR
2023-01-24T12:42:55.33Z 263 19.15000 EUR XETR
2023-01-24T12:44:01.54Z 131 19.16000 EUR XETR
2023-01-24T12:45:48.10Z 132 19.16500 EUR XETR
2023-01-24T12:46:23.63Z 60 19.14000 EUR XETR
2023-01-24T12:48:52.65Z 175 19.13000 EUR XETR
2023-01-24T12:52:37.63Z 145 19.13500 EUR XETR
2023-01-24T12:52:37.65Z 135 19.13500 EUR XETR
2023-01-24T12:52:43.67Z 144 19.13500 EUR XETR
2023-01-24T12:54:52.15Z 156 19.13500 EUR XETR
2023-01-24T12:57:16.71Z 131 19.10500 EUR XETR
2023-01-24T12:58:48.49Z 269 19.10000 EUR XETR
2023-01-24T13:00:28.50Z 131 19.06000 EUR XETR
2023-01-24T13:01:20.40Z 132 19.07500 EUR XETR
2023-01-24T13:02:20.15Z 131 19.04500 EUR XETR
2023-01-24T13:03:27.07Z 131 19.04000 EUR XETR
2023-01-24T13:04:24.04Z 131 19.04500 EUR XETR
2023-01-24T13:07:16.45Z 195 19.05500 EUR XETR
2023-01-24T13:09:25.03Z 11 19.05500 EUR XETR
2023-01-24T13:09:25.03Z 161 19.05500 EUR XETR
2023-01-24T13:09:42.94Z 166 19.08000 EUR XETR
2023-01-24T13:12:08.49Z 225 19.09000 EUR XETR
2023-01-24T13:12:45.84Z 31 19.08500 EUR XETR
2023-01-24T13:12:45.84Z 113 19.08500 EUR XETR
2023-01-24T13:14:57.67Z 217 19.09000 EUR XETR
2023-01-24T13:15:41.39Z 232 19.06500 EUR XETR
2023-01-24T13:18:11.71Z 132 19.01000 EUR XETR
2023-01-24T13:18:48.49Z 172 19.00500 EUR XETR
2023-01-24T13:20:46.95Z 100 19.00000 EUR XETR
2023-01-24T13:20:46.95Z 164 19.00000 EUR XETR
2023-01-24T13:23:30.38Z 293 19.01000 EUR XETR
2023-01-24T13:24:57.83Z 154 19.01500 EUR XETR
2023-01-24T13:26:18.14Z 170 19.00500 EUR XETR
2023-01-24T13:27:10.96Z 18 19.00500 EUR XETR
2023-01-24T13:27:10.96Z 172 19.00500 EUR XETR
2023-01-24T13:29:41.68Z 197 19.04500 EUR XETR
2023-01-24T13:30:35.93Z 221 19.06500 EUR XETR
2023-01-24T13:31:48.07Z 214 19.06000 EUR XETR
2023-01-24T13:32:30.39Z 226 19.05000 EUR XETR
2023-01-24T13:32:55.20Z 247 19.05000 EUR XETR
