Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 03Apr23 XETR 70,000 21.12928 EUR XETR
2023-04-03T07:06:20.15Z 210 20.72000 EUR XETR
2023-04-03T07:06:36.68Z 136 20.74000 EUR XETR
2023-04-03T07:08:08.18Z 172 20.76000 EUR XETR
2023-04-03T07:08:41.77Z 245 20.80000 EUR XETR
2023-04-03T07:09:24.07Z 236 20.79000 EUR XETR
2023-04-03T07:09:36.24Z 264 20.76000 EUR XETR
2023-04-03T07:09:51.49Z 105 20.78000 EUR XETR
2023-04-03T07:10:59.94Z 159 20.84000 EUR XETR
2023-04-03T07:11:36.27Z 203 20.86000 EUR XETR
2023-04-03T07:11:55.78Z 209 20.89000 EUR XETR
2023-04-03T07:12:40.18Z 331 20.97000 EUR XETR
2023-04-03T07:13:17.43Z 512 21.02000 EUR XETR
2023-04-03T07:13:19.60Z 177 20.96000 EUR XETR
2023-04-03T07:13:19.60Z 248 20.98000 EUR XETR
2023-04-03T07:13:19.60Z 314 21.00000 EUR XETR
2023-04-03T07:13:24.79Z 132 20.93000 EUR XETR
2023-04-03T07:13:29.29Z 268 20.92000 EUR XETR
2023-04-03T07:14:11.98Z 127 20.91000 EUR XETR
2023-04-03T07:15:03.58Z 104 20.88000 EUR XETR
2023-04-03T07:15:19.53Z 75 20.92000 EUR XETR
2023-04-03T07:15:19.54Z 67 20.92000 EUR XETR
2023-04-03T07:16:00.95Z 105 20.87000 EUR XETR
2023-04-03T07:17:41.34Z 113 20.88000 EUR XETR
2023-04-03T07:17:48.54Z 183 20.93000 EUR XETR
2023-04-03T07:18:03.63Z 190 20.88000 EUR XETR
2023-04-03T07:19:11.98Z 109 20.84000 EUR XETR
2023-04-03T07:19:46.90Z 147 20.88000 EUR XETR
2023-04-03T07:21:04.83Z 44 20.84000 EUR XETR
2023-04-03T07:21:04.83Z 65 20.84000 EUR XETR
2023-04-03T07:22:01.15Z 156 20.90000 EUR XETR
2023-04-03T07:23:31.91Z 144 20.96000 EUR XETR
2023-04-03T07:23:40.06Z 142 20.97000 EUR XETR
2023-04-03T07:24:55.58Z 138 20.98000 EUR XETR
2023-04-03T07:25:22.31Z 138 21.04000 EUR XETR
2023-04-03T07:25:58.72Z 126 21.00000 EUR XETR
2023-04-03T07:27:17.28Z 106 21.01000 EUR XETR
2023-04-03T07:27:56.89Z 49 21.02000 EUR XETR
2023-04-03T07:28:00.05Z 87 21.02000 EUR XETR
2023-04-03T07:28:29.28Z 139 21.04000 EUR XETR
2023-04-03T07:29:27.30Z 162 21.03000 EUR XETR
2023-04-03T07:30:47.28Z 133 21.09000 EUR XETR
2023-04-03T07:33:29.39Z 165 21.20000 EUR XETR
2023-04-03T07:33:43.11Z 112 21.19000 EUR XETR
2023-04-03T07:33:47.19Z 133 21.17000 EUR XETR
2023-04-03T07:34:03.00Z 22 21.16000 EUR XETR
2023-04-03T07:34:03.00Z 86 21.16000 EUR XETR
2023-04-03T07:35:12.92Z 103 21.09000 EUR XETR
2023-04-03T07:35:56.76Z 162 21.02000 EUR XETR
2023-04-03T07:37:26.46Z 127 21.01000 EUR XETR
2023-04-03T07:38:00.95Z 142 21.08000 EUR XETR
2023-04-03T07:39:26.80Z 144 21.04000 EUR XETR
2023-04-03T07:41:01.99Z 104 21.05000 EUR XETR
2023-04-03T07:42:05.25Z 133 21.02000 EUR XETR
2023-04-03T07:44:13.06Z 139 21.07000 EUR XETR
2023-04-03T07:45:02.69Z 125 21.04000 EUR XETR
2023-04-03T07:48:30.66Z 162 21.16000 EUR XETR
2023-04-03T07:48:30.71Z 105 21.13000 EUR XETR
2023-04-03T07:48:59.80Z 154 21.15000 EUR XETR
2023-04-03T07:51:26.07Z 120 21.17000 EUR XETR
2023-04-03T07:51:36.60Z 55 21.20000 EUR XETR
2023-04-03T07:51:36.60Z 70 21.20000 EUR XETR
2023-04-03T07:54:14.56Z 6 21.19000 EUR XETR
2023-04-03T07:54:14.56Z 153 21.19000 EUR XETR
2023-04-03T07:54:14.62Z 46 21.18000 EUR XETR
2023-04-03T07:54:14.62Z 129 21.18000 EUR XETR
2023-04-03T07:56:42.84Z 173 21.20000 EUR XETR
2023-04-03T07:57:48.47Z 151 21.23000 EUR XETR
