Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 21Mar23 XETR 77,000 19.36755 EUR XETR
2023-03-21T08:03:14.57Z 147 19.02500 EUR XETR
2023-03-21T08:04:33.03Z 95 18.99000 EUR XETR
2023-03-21T08:04:33.03Z 310 18.99000 EUR XETR
2023-03-21T08:06:14.17Z 123 18.99500 EUR XETR
2023-03-21T08:08:18.91Z 170 19.08000 EUR XETR
2023-03-21T08:09:34.60Z 154 19.18000 EUR XETR
2023-03-21T08:10:09.08Z 262 19.15500 EUR XETR
2023-03-21T08:11:24.83Z 183 19.18500 EUR XETR
2023-03-21T08:11:37.39Z 54 19.17000 EUR XETR
2023-03-21T08:11:37.39Z 85 19.17000 EUR XETR
2023-03-21T08:11:37.39Z 141 19.18000 EUR XETR
2023-03-21T08:11:37.40Z 127 19.16500 EUR XETR
2023-03-21T08:11:43.69Z 123 19.16000 EUR XETR
2023-03-21T08:12:49.99Z 128 19.17500 EUR XETR
2023-03-21T08:13:31.88Z 139 19.21500 EUR XETR
2023-03-21T08:13:37.11Z 150 19.20500 EUR XETR
2023-03-21T08:13:37.20Z 131 19.20000 EUR XETR
2023-03-21T08:14:06.65Z 139 19.16500 EUR XETR
2023-03-21T08:15:05.75Z 21 19.11500 EUR XETR
2023-03-21T08:15:05.75Z 112 19.11500 EUR XETR
2023-03-21T08:20:09.23Z 178 19.27500 EUR XETR
2023-03-21T08:20:29.31Z 252 19.31000 EUR XETR
2023-03-21T08:20:30.21Z 274 19.30000 EUR XETR
2023-03-21T08:21:01.56Z 136 19.28000 EUR XETR
2023-03-21T08:21:36.55Z 128 19.33000 EUR XETR
2023-03-21T08:21:46.13Z 174 19.30500 EUR XETR
2023-03-21T08:23:03.77Z 137 19.32500 EUR XETR
2023-03-21T08:25:06.57Z 138 19.33500 EUR XETR
2023-03-21T08:27:23.35Z 187 19.38500 EUR XETR
2023-03-21T08:27:52.48Z 141 19.37500 EUR XETR
2023-03-21T08:28:06.41Z 148 19.38000 EUR XETR
2023-03-21T08:28:20.99Z 177 19.36500 EUR XETR
2023-03-21T08:30:54.47Z 238 19.39000 EUR XETR
2023-03-21T08:31:21.44Z 279 19.39500 EUR XETR
2023-03-21T08:31:43.73Z 186 19.38500 EUR XETR
2023-03-21T08:34:44.23Z 238 19.39000 EUR XETR
2023-03-21T08:36:18.13Z 123 19.37500 EUR XETR
2023-03-21T08:37:48.40Z 129 19.38000 EUR XETR
2023-03-21T08:40:08.40Z 152 19.42000 EUR XETR
2023-03-21T08:40:23.45Z 233 19.44500 EUR XETR
2023-03-21T08:42:26.12Z 139 19.38500 EUR XETR
2023-03-21T08:43:34.72Z 140 19.40000 EUR XETR
2023-03-21T08:44:36.07Z 153 19.42500 EUR XETR
2023-03-21T08:48:20.50Z 182 19.48000 EUR XETR
2023-03-21T08:48:57.63Z 139 19.47500 EUR XETR
2023-03-21T08:49:35.84Z 133 19.50000 EUR XETR
2023-03-21T08:50:22.63Z 174 19.48000 EUR XETR
2023-03-21T08:50:24.55Z 281 19.47500 EUR XETR
2023-03-21T08:52:46.52Z 131 19.49500 EUR XETR
2023-03-21T08:54:31.50Z 124 19.48500 EUR XETR
2023-03-21T08:56:08.60Z 160 19.53500 EUR XETR
2023-03-21T08:56:08.62Z 135 19.53500 EUR XETR
2023-03-21T08:58:13.78Z 132 19.52000 EUR XETR
2023-03-21T08:58:18.18Z 176 19.51500 EUR XETR
2023-03-21T08:59:38.22Z 165 19.53000 EUR XETR
2023-03-21T09:00:30.10Z 123 19.53000 EUR XETR
2023-03-21T09:01:47.08Z 131 19.53500 EUR XETR
2023-03-21T09:05:34.66Z 170 19.49000 EUR XETR
2023-03-21T09:06:15.45Z 193 19.49000 EUR XETR
2023-03-21T09:06:45.66Z 252 19.49500 EUR XETR
2023-03-21T09:08:35.07Z 155 19.51000 EUR XETR
2023-03-21T09:08:36.96Z 123 19.51000 EUR XETR
2023-03-21T09:11:01.10Z 138 19.49000 EUR XETR
2023-03-21T09:11:18.66Z 196 19.49500 EUR XETR
2023-03-21T09:13:43.94Z 135 19.48500 EUR XETR
2023-03-21T09:15:00.20Z 124 19.47500 EUR XETR
2023-03-21T09:19:11.01Z 153 19.49500 EUR XETR
