Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 11Apr23 XETR 69,773 21.12933 EUR XETR
2023-04-11T07:01:40.13Z 126 21.17000 EUR XETR
2023-04-11T07:03:05.60Z 175 21.17000 EUR XETR
2023-04-11T07:03:49.10Z 167 21.15000 EUR XETR
2023-04-11T07:05:07.70Z 224 21.23000 EUR XETR
2023-04-11T07:05:07.72Z 106 21.23000 EUR XETR
2023-04-11T07:06:21.32Z 128 21.20000 EUR XETR
2023-04-11T07:07:39.81Z 132 21.23000 EUR XETR
2023-04-11T07:08:30.00Z 169 21.26000 EUR XETR
2023-04-11T07:08:38.93Z 161 21.20000 EUR XETR
2023-04-11T07:09:01.56Z 51 21.18000 EUR XETR
2023-04-11T07:09:01.56Z 61 21.18000 EUR XETR
2023-04-11T07:10:10.42Z 196 21.23000 EUR XETR
2023-04-11T07:12:20.48Z 156 21.28000 EUR XETR
2023-04-11T07:12:29.51Z 212 21.28000 EUR XETR
2023-04-11T07:14:46.01Z 25 21.36000 EUR XETR
2023-04-11T07:14:46.01Z 196 21.36000 EUR XETR
2023-04-11T07:14:48.89Z 106 21.36000 EUR XETR
2023-04-11T07:15:01.75Z 109 21.35000 EUR XETR
2023-04-11T07:15:01.76Z 132 21.35000 EUR XETR
2023-04-11T07:15:24.21Z 105 21.33000 EUR XETR
2023-04-11T07:15:51.15Z 121 21.34000 EUR XETR
2023-04-11T07:17:16.12Z 183 21.24000 EUR XETR
2023-04-11T07:17:23.81Z 170 21.21000 EUR XETR
2023-04-11T07:17:56.67Z 110 21.18000 EUR XETR
2023-04-11T07:19:21.68Z 14 21.17000 EUR XETR
2023-04-11T07:19:21.68Z 129 21.17000 EUR XETR
2023-04-11T07:20:44.44Z 110 21.18000 EUR XETR
2023-04-11T07:24:35.74Z 101 21.23000 EUR XETR
2023-04-11T07:24:37.70Z 161 21.20000 EUR XETR
2023-04-11T07:26:00.39Z 110 21.18000 EUR XETR
2023-04-11T07:28:24.89Z 116 21.19000 EUR XETR
2023-04-11T07:28:27.55Z 122 21.18000 EUR XETR
2023-04-11T07:30:28.30Z 170 21.20000 EUR XETR
2023-04-11T07:31:53.57Z 178 21.20000 EUR XETR
2023-04-11T07:34:23.67Z 224 21.23000 EUR XETR
2023-04-11T07:34:46.11Z 221 21.24000 EUR XETR
2023-04-11T07:35:55.83Z 117 21.21000 EUR XETR
2023-04-11T07:38:02.16Z 138 21.22000 EUR XETR
2023-04-11T07:38:24.57Z 113 21.21000 EUR XETR
2023-04-11T07:41:43.54Z 127 21.15000 EUR XETR
2023-04-11T07:42:37.96Z 165 21.16000 EUR XETR
2023-04-11T07:45:31.73Z 104 21.12000 EUR XETR
2023-04-11T07:48:08.10Z 105 21.15000 EUR XETR
2023-04-11T07:48:08.11Z 184 21.15000 EUR XETR
2023-04-11T07:51:47.37Z 118 21.17000 EUR XETR
2023-04-11T07:53:29.21Z 169 21.17000 EUR XETR
2023-04-11T07:54:47.20Z 181 21.19000 EUR XETR
2023-04-11T07:57:36.15Z 176 21.18000 EUR XETR
2023-04-11T07:57:45.12Z 103 21.17000 EUR XETR
2023-04-11T07:57:55.06Z 119 21.18000 EUR XETR
2023-04-11T07:58:35.62Z 154 21.20000 EUR XETR
2023-04-11T08:01:28.68Z 236 21.15000 EUR XETR
2023-04-11T08:04:30.27Z 111 21.20000 EUR XETR
2023-04-11T08:04:37.16Z 214 21.20000 EUR XETR
2023-04-11T08:05:11.26Z 177 21.18000 EUR XETR
2023-04-11T08:05:11.44Z 211 21.17000 EUR XETR
2023-04-11T08:05:33.45Z 177 21.15000 EUR XETR
2023-04-11T08:07:42.41Z 116 21.13000 EUR XETR
2023-04-11T08:08:01.50Z 150 21.14000 EUR XETR
2023-04-11T08:13:29.33Z 29 21.17000 EUR XETR
2023-04-11T08:14:11.00Z 76 21.17000 EUR XETR
2023-04-11T08:15:07.70Z 145 21.19000 EUR XETR
2023-04-11T08:15:12.71Z 187 21.19000 EUR XETR
2023-04-11T08:17:08.11Z 103 21.21000 EUR XETR
2023-04-11T08:19:43.16Z 70 21.24000 EUR XETR
2023-04-11T08:21:16.31Z 181 21.26000 EUR XETR
2023-04-11T08:24:09.91Z 11 21.28000 EUR XETR
