Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency  
according to 
field 34Venue 
according to 
field 36
Aggregation 29Jan24 XETR 285,000 13.66930 EUR XETR
2024-01-29T08:03:48.96Z 238 13.60000 EUR XETR
2024-01-29T08:03:50.26Z 12 13.59500 EUR XETR
2024-01-29T08:03:50.26Z 400 13.59500 EUR XETR
2024-01-29T08:07:04.22Z 449 13.66000 EUR XETR
2024-01-29T08:07:04.22Z 689 13.66000 EUR XETR
2024-01-29T08:07:05.22Z 437 13.65500 EUR XETR
2024-01-29T08:08:02.10Z 458 13.63500 EUR XETR
2024-01-29T08:08:12.13Z 203 13.63500 EUR XETR
2024-01-29T08:08:27.57Z 378 13.64500 EUR XETR
2024-01-29T08:09:48.32Z 232 13.63500 EUR XETR
2024-01-29T08:10:02.48Z 15 13.61000 EUR XETR
2024-01-29T08:10:02.48Z 270 13.61000 EUR XETR
2024-01-29T08:10:47.77Z 710 13.64500 EUR XETR
2024-01-29T08:10:47.78Z 216 13.63500 EUR XETR
2024-01-29T08:11:02.38Z 313 13.60500 EUR XETR
2024-01-29T08:11:05.95Z 209 13.60000 EUR XETR
2024-01-29T08:11:05.95Z 283 13.59000 EUR XETR
2024-01-29T08:11:28.57Z 1544 13.60000 EUR XETR
2024-01-29T08:11:56.90Z 548 13.60500 EUR XETR
2024-01-29T08:12:03.77Z 360 13.60500 EUR XETR
2024-01-29T08:12:54.53Z 20 13.61500 EUR XETR
2024-01-29T08:12:54.53Z 452 13.61500 EUR XETR
2024-01-29T08:14:17.52Z 101 13.62000 EUR XETR
2024-01-29T08:14:17.52Z 258 13.62000 EUR XETR
2024-01-29T08:14:17.53Z 349 13.61000 EUR XETR
2024-01-29T08:14:27.14Z 701 13.60500 EUR XETR
2024-01-29T08:15:06.02Z 360 13.63000 EUR XETR
2024-01-29T08:15:08.13Z 388 13.61500 EUR XETR
2024-01-29T08:17:02.64Z 680 13.61000 EUR XETR
2024-01-29T08:17:02.81Z 451 13.60500 EUR XETR
2024-01-29T08:17:05.78Z 683 13.60000 EUR XETR
2024-01-29T08:17:05.91Z 49 13.59000 EUR XETR
2024-01-29T08:17:05.91Z 225 13.59000 EUR XETR
2024-01-29T08:17:20.18Z 95 13.59000 EUR XETR
2024-01-29T08:17:20.18Z 251 13.58500 EUR XETR
2024-01-29T08:17:20.18Z 350 13.59000 EUR XETR
2024-01-29T08:17:44.73Z 47 13.59000 EUR XETR
2024-01-29T08:17:44.73Z 467 13.59000 EUR XETR
2024-01-29T08:17:47.19Z 203 13.58500 EUR XETR
2024-01-29T08:17:47.19Z 249 13.58500 EUR XETR
2024-01-29T08:17:50.76Z 807 13.57500 EUR XETR
2024-01-29T08:17:50.78Z 237 13.57500 EUR XETR
2024-01-29T08:17:50.80Z 286 13.57000 EUR XETR
2024-01-29T08:17:52.59Z 210 13.56000 EUR XETR
2024-01-29T08:17:52.61Z 242 13.56000 EUR XETR
2024-01-29T08:18:00.72Z 263 13.55000 EUR XETR
2024-01-29T08:18:20.93Z 261 13.54000 EUR XETR
2024-01-29T08:18:37.51Z 208 13.53500 EUR XETR
2024-01-29T08:18:40.61Z 39 13.53000 EUR XETR
2024-01-29T08:18:40.61Z 500 13.53000 EUR XETR
2024-01-29T08:20:45.36Z 322 13.53500 EUR XETR
2024-01-29T08:20:45.37Z 301 13.53000 EUR XETR
2024-01-29T08:22:27.65Z 291 13.56500 EUR XETR
2024-01-29T08:24:56.71Z 219 13.59000 EUR XETR
2024-01-29T08:25:48.31Z 222 13.58000 EUR XETR
2024-01-29T08:25:48.31Z 264 13.58000 EUR XETR
2024-01-29T08:25:48.31Z 304 13.58000 EUR XETR
2024-01-29T08:27:08.10Z 80 13.55000 EUR XETR
2024-01-29T08:27:08.10Z 158 13.55000 EUR XETR
2024-01-29T08:27:17.99Z 242 13.54000 EUR XETR
2024-01-29T08:27:27.57Z 363 13.53500 EUR XETR
2024-01-29T08:29:02.79Z 278 13.56000 EUR XETR
2024-01-29T08:29:26.43Z 461 13.54000 EUR XETR
2024-01-29T08:29:27.23Z 411 13.53500 EUR XETR
2024-01-29T08:29:55.27Z 218 13.52500 EUR XETR
2024-01-29T08:30:18.59Z 311 13.52500 EUR XETR
2024-01-29T08:32:16.11Z 208 13.55500 EUR XETR
