Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 17Apr23 XETR 69,000 21.50279 EUR XETR
2023-04-17T07:02:43.46Z 129 21.80000 EUR XETR
2023-04-17T07:06:31.93Z 125 21.77000 EUR XETR
2023-04-17T07:07:23.69Z 156 21.77000 EUR XETR
2023-04-17T07:07:24.01Z 112 21.77000 EUR XETR
2023-04-17T07:08:08.94Z 156 21.76000 EUR XETR
2023-04-17T07:09:07.23Z 161 21.76000 EUR XETR
2023-04-17T07:09:20.55Z 150 21.75000 EUR XETR
2023-04-17T07:11:40.08Z 29 21.77000 EUR XETR
2023-04-17T07:11:40.08Z 30 21.77000 EUR XETR
2023-04-17T07:11:40.08Z 109 21.77000 EUR XETR
2023-04-17T07:13:39.99Z 113 21.74000 EUR XETR
2023-04-17T07:15:22.53Z 217 21.72000 EUR XETR
2023-04-17T07:15:22.55Z 130 21.72000 EUR XETR
2023-04-17T07:16:33.96Z 59 21.71000 EUR XETR
2023-04-17T07:16:39.20Z 113 21.71000 EUR XETR
2023-04-17T07:18:03.95Z 98 21.69000 EUR XETR
2023-04-17T07:18:53.88Z 102 21.68000 EUR XETR
2023-04-17T07:23:10.80Z 207 21.70000 EUR XETR
2023-04-17T07:25:06.11Z 140 21.72000 EUR XETR
2023-04-17T07:28:37.26Z 119 21.76000 EUR XETR
2023-04-17T07:33:01.65Z 496 21.86000 EUR XETR
2023-04-17T07:35:54.23Z 24 21.87000 EUR XETR
2023-04-17T07:35:54.23Z 332 21.87000 EUR XETR
2023-04-17T07:38:00.30Z 21 21.88000 EUR XETR
2023-04-17T07:38:00.30Z 212 21.88000 EUR XETR
2023-04-17T07:38:03.38Z 129 21.87000 EUR XETR
2023-04-17T07:38:33.82Z 20 21.87000 EUR XETR
2023-04-17T07:39:52.46Z 81 21.87000 EUR XETR
2023-04-17T07:40:17.13Z 153 21.87000 EUR XETR
2023-04-17T07:40:17.14Z 100 21.87000 EUR XETR
2023-04-17T07:40:19.43Z 100 21.86000 EUR XETR
2023-04-17T07:40:58.24Z 135 21.87000 EUR XETR
2023-04-17T07:42:35.84Z 139 21.87000 EUR XETR
2023-04-17T07:43:50.05Z 133 21.86000 EUR XETR
2023-04-17T07:44:05.91Z 131 21.84000 EUR XETR
2023-04-17T07:44:51.70Z 122 21.83000 EUR XETR
2023-04-17T07:45:58.37Z 50 21.83000 EUR XETR
2023-04-17T07:47:38.60Z 140 21.84000 EUR XETR
2023-04-17T07:50:27.19Z 119 21.81000 EUR XETR
2023-04-17T07:52:26.33Z 130 21.80000 EUR XETR
2023-04-17T07:54:49.59Z 103 21.79000 EUR XETR
2023-04-17T07:56:07.18Z 50 21.75000 EUR XETR
2023-04-17T07:56:07.18Z 104 21.75000 EUR XETR
2023-04-17T07:59:00.29Z 201 21.78000 EUR XETR
2023-04-17T08:00:41.52Z 103 21.76000 EUR XETR
2023-04-17T08:04:05.80Z 108 21.74000 EUR XETR
2023-04-17T08:04:27.37Z 110 21.73000 EUR XETR
2023-04-17T08:04:51.60Z 111 21.73000 EUR XETR
2023-04-17T08:06:51.02Z 105 21.74000 EUR XETR
2023-04-17T08:07:09.74Z 124 21.73000 EUR XETR
2023-04-17T08:07:09.78Z 50 21.73000 EUR XETR
2023-04-17T08:07:10.44Z 144 21.73000 EUR XETR
2023-04-17T08:08:10.04Z 40 21.71000 EUR XETR
2023-04-17T08:08:10.04Z 106 21.71000 EUR XETR
2023-04-17T08:09:01.66Z 50 21.71000 EUR XETR
2023-04-17T08:10:21.76Z 178 21.73000 EUR XETR
2023-04-17T08:12:46.01Z 100 21.72000 EUR XETR
2023-04-17T08:14:48.03Z 184 21.74000 EUR XETR
2023-04-17T08:15:41.97Z 50 21.72000 EUR XETR
2023-04-17T08:17:07.30Z 50 21.71000 EUR XETR
2023-04-17T08:20:11.91Z 198 21.69000 EUR XETR
2023-04-17T08:20:13.93Z 143 21.66000 EUR XETR
2023-04-17T08:20:16.14Z 132 21.65000 EUR XETR
2023-04-17T08:20:27.57Z 99 21.62000 EUR XETR
2023-04-17T08:22:20.67Z 105 21.60000 EUR XETR
2023-04-17T08:24:55.45Z 17 21.58000 EUR XETR
2023-04-17T08:24:55.45Z 150 21.58000 EUR XETR
