Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 13Mar23 XETR 74,000 19.08699 EUR XETR
2023-03-13T08:03:26.51Z 214 19.84000 EUR XETR
2023-03-13T08:03:35.40Z 150 19.81500 EUR XETR
2023-03-13T08:09:17.99Z 121 19.73500 EUR XETR
2023-03-13T08:11:19.02Z 139 19.70500 EUR XETR
2023-03-13T08:11:36.27Z 121 19.69500 EUR XETR
2023-03-13T08:13:12.06Z 237 19.72000 EUR XETR
2023-03-13T08:15:07.58Z 51 19.72000 EUR XETR
2023-03-13T08:15:07.58Z 112 19.72000 EUR XETR
2023-03-13T08:15:37.67Z 149 19.72000 EUR XETR
2023-03-13T08:18:10.17Z 248 19.75500 EUR XETR
2023-03-13T08:21:28.02Z 134 19.66500 EUR XETR
2023-03-13T08:23:50.44Z 137 19.66500 EUR XETR
2023-03-13T08:26:31.50Z 135 19.64000 EUR XETR
2023-03-13T08:27:13.87Z 274 19.63500 EUR XETR
2023-03-13T08:27:58.49Z 136 19.64000 EUR XETR
2023-03-13T08:28:18.68Z 217 19.65000 EUR XETR
2023-03-13T08:28:18.70Z 189 19.65000 EUR XETR
2023-03-13T08:29:19.14Z 133 19.66500 EUR XETR
2023-03-13T08:30:22.37Z 266 19.69500 EUR XETR
2023-03-13T08:30:50.65Z 211 19.68000 EUR XETR
2023-03-13T08:32:39.09Z 59 19.63000 EUR XETR
2023-03-13T08:33:12.75Z 180 19.60500 EUR XETR
2023-03-13T08:33:50.05Z 224 19.65000 EUR XETR
2023-03-13T08:35:02.63Z 195 19.67000 EUR XETR
2023-03-13T08:39:13.72Z 121 19.64500 EUR XETR
2023-03-13T08:41:22.30Z 23 19.63500 EUR XETR
2023-03-13T08:41:35.89Z 114 19.63500 EUR XETR
2023-03-13T08:43:08.91Z 205 19.64000 EUR XETR
2023-03-13T08:45:02.87Z 122 19.61000 EUR XETR
2023-03-13T08:45:35.49Z 213 19.61500 EUR XETR
2023-03-13T08:47:28.23Z 174 19.63000 EUR XETR
2023-03-13T08:48:43.56Z 147 19.60500 EUR XETR
2023-03-13T08:49:34.72Z 121 19.63000 EUR XETR
2023-03-13T08:50:48.33Z 202 19.61500 EUR XETR
2023-03-13T08:51:57.37Z 172 19.54000 EUR XETR
2023-03-13T08:52:32.98Z 127 19.51000 EUR XETR
2023-03-13T08:53:00.03Z 190 19.50000 EUR XETR
2023-03-13T08:53:54.75Z 202 19.42000 EUR XETR
2023-03-13T08:54:23.13Z 123 19.44500 EUR XETR
2023-03-13T08:54:36.57Z 178 19.44500 EUR XETR
2023-03-13T08:55:57.82Z 122 19.43500 EUR XETR
2023-03-13T08:56:34.64Z 171 19.37000 EUR XETR
2023-03-13T08:57:01.05Z 172 19.34500 EUR XETR
2023-03-13T08:59:46.16Z 168 19.40500 EUR XETR
2023-03-13T09:00:05.56Z 172 19.41000 EUR XETR
2023-03-13T09:00:13.20Z 134 19.41000 EUR XETR
2023-03-13T09:00:35.05Z 101 19.43500 EUR XETR
2023-03-13T09:00:35.05Z 115 19.43500 EUR XETR
2023-03-13T09:02:03.26Z 166 19.44500 EUR XETR
2023-03-13T09:02:43.07Z 141 19.41000 EUR XETR
2023-03-13T09:03:39.26Z 121 19.40500 EUR XETR
2023-03-13T09:04:46.68Z 141 19.36500 EUR XETR
2023-03-13T09:05:39.09Z 138 19.34500 EUR XETR
2023-03-13T09:05:52.66Z 150 19.30500 EUR XETR
2023-03-13T09:05:54.11Z 298 19.30500 EUR XETR
2023-03-13T09:06:12.52Z 78 19.31500 EUR XETR
2023-03-13T09:06:12.52Z 106 19.31500 EUR XETR
2023-03-13T09:06:52.19Z 125 19.28000 EUR XETR
2023-03-13T09:07:41.64Z 199 19.33000 EUR XETR
2023-03-13T09:08:32.94Z 121 19.31000 EUR XETR
2023-03-13T09:09:30.92Z 25 19.27500 EUR XETR
2023-03-13T09:09:30.92Z 101 19.27500 EUR XETR
2023-03-13T09:10:18.84Z 100 19.26000 EUR XETR
2023-03-13T09:10:19.76Z 22 19.26000 EUR XETR
2023-03-13T09:12:39.14Z 139 19.26000 EUR XETR
2023-03-13T09:12:57.57Z 198 19.29000 EUR XETR
2023-03-13T09:13:34.62Z 120 19.29500 EUR XETR
