Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 10May23 XETR 60,000 22.26492 EUR XETR
2023-05-10T07:00:26.32Z 151 22.32000 EUR XETR
2023-05-10T07:02:32.18Z 198 22.52000 EUR XETR
2023-05-10T07:02:32.77Z 72 22.52000 EUR XETR
2023-05-10T07:03:06.46Z 362 22.58000 EUR XETR
2023-05-10T07:03:06.47Z 160 22.57000 EUR XETR
2023-05-10T07:03:42.14Z 261 22.55000 EUR XETR
2023-05-10T07:04:15.08Z 137 22.57000 EUR XETR
2023-05-10T07:04:29.55Z 67 22.64000 EUR XETR
2023-05-10T07:04:29.55Z 104 22.64000 EUR XETR
2023-05-10T07:04:29.55Z 157 22.65000 EUR XETR
2023-05-10T07:04:44.12Z 129 22.65000 EUR XETR
2023-05-10T07:05:39.58Z 227 22.64000 EUR XETR
2023-05-10T07:06:12.69Z 194 22.66000 EUR XETR
2023-05-10T07:06:51.19Z 337 22.64000 EUR XETR
2023-05-10T07:06:51.19Z 944 22.65000 EUR XETR
2023-05-10T07:06:54.13Z 344 22.66000 EUR XETR
2023-05-10T07:06:57.65Z 287 22.65000 EUR XETR
2023-05-10T07:06:59.47Z 138 22.66000 EUR XETR
2023-05-10T07:09:39.83Z 158 22.66000 EUR XETR
2023-05-10T07:10:48.63Z 222 22.63000 EUR XETR
2023-05-10T07:13:17.09Z 128 22.59000 EUR XETR
2023-05-10T07:13:49.40Z 192 22.57000 EUR XETR
2023-05-10T07:14:27.85Z 158 22.56000 EUR XETR
2023-05-10T07:16:03.27Z 142 22.56000 EUR XETR
2023-05-10T07:17:08.86Z 191 22.58000 EUR XETR
2023-05-10T07:18:24.69Z 130 22.56000 EUR XETR
2023-05-10T07:19:00.04Z 82 22.57000 EUR XETR
2023-05-10T07:19:00.04Z 84 22.57000 EUR XETR
2023-05-10T07:19:59.90Z 124 22.59000 EUR XETR
2023-05-10T07:21:11.40Z 130 22.63000 EUR XETR
2023-05-10T07:24:08.91Z 135 22.55000 EUR XETR
2023-05-10T07:26:57.37Z 169 22.58000 EUR XETR
2023-05-10T07:27:51.42Z 10 22.55000 EUR XETR
2023-05-10T07:27:51.42Z 256 22.55000 EUR XETR
2023-05-10T07:29:41.32Z 156 22.46000 EUR XETR
2023-05-10T07:31:23.08Z 143 22.45000 EUR XETR
2023-05-10T07:32:24.58Z 176 22.47000 EUR XETR
2023-05-10T07:33:24.94Z 138 22.41000 EUR XETR
2023-05-10T07:35:42.08Z 165 22.42000 EUR XETR
2023-05-10T07:35:42.09Z 32 22.42000 EUR XETR
2023-05-10T07:38:59.51Z 164 22.44000 EUR XETR
2023-05-10T07:39:06.04Z 139 22.42000 EUR XETR
2023-05-10T07:41:18.08Z 147 22.36000 EUR XETR
2023-05-10T07:41:35.69Z 159 22.35000 EUR XETR
2023-05-10T07:43:12.98Z 169 22.32000 EUR XETR
2023-05-10T07:43:13.00Z 205 22.32000 EUR XETR
2023-05-10T07:48:07.88Z 14 22.30000 EUR XETR
2023-05-10T07:48:07.88Z 149 22.30000 EUR XETR
2023-05-10T07:48:50.65Z 67 22.28000 EUR XETR
2023-05-10T07:49:08.17Z 141 22.27000 EUR XETR
2023-05-10T07:54:22.95Z 140 22.27000 EUR XETR
2023-05-10T07:56:02.53Z 168 22.28000 EUR XETR
2023-05-10T07:56:13.68Z 139 22.27000 EUR XETR
2023-05-10T07:58:00.93Z 134 22.23000 EUR XETR
2023-05-10T07:59:35.91Z 129 22.17000 EUR XETR
2023-05-10T08:00:03.11Z 143 22.18000 EUR XETR
2023-05-10T08:03:15.71Z 124 22.19000 EUR XETR
2023-05-10T08:04:21.44Z 127 22.17000 EUR XETR
2023-05-10T08:05:02.10Z 54 22.13000 EUR XETR
2023-05-10T08:05:02.10Z 98 22.13000 EUR XETR
2023-05-10T08:07:28.07Z 7 22.15000 EUR XETR
2023-05-10T08:07:35.82Z 256 22.15000 EUR XETR
2023-05-10T08:09:49.89Z 147 22.17000 EUR XETR
2023-05-10T08:12:18.02Z 134 22.15000 EUR XETR
2023-05-10T08:12:28.39Z 138 22.14000 EUR XETR
2023-05-10T08:15:44.20Z 221 22.18000 EUR XETR
2023-05-10T08:18:15.23Z 233 22.18000 EUR XETR
