Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 23Jan23 XETR 77,000 19.00782 EUR XETR
Frei verwendbar 2023-01-23T09:53:40.88Z 139 18.92500 EUR XETR
2023-01-23T09:55:31.28Z 132 18.94500 EUR XETR
2023-01-23T09:55:47.49Z 143 18.92000 EUR XETR
2023-01-23T09:58:42.54Z 147 18.90500 EUR XETR
2023-01-23T10:02:26.01Z 268 18.88000 EUR XETR
2023-01-23T10:02:50.64Z 153 18.85500 EUR XETR
2023-01-23T10:04:03.64Z 166 18.87500 EUR XETR
2023-01-23T10:05:07.70Z 147 18.86500 EUR XETR
2023-01-23T10:06:51.30Z 166 18.84500 EUR XETR
2023-01-23T10:09:01.66Z 237 18.79000 EUR XETR
2023-01-23T10:09:45.81Z 11 18.79000 EUR XETR
2023-01-23T10:09:45.81Z 117 18.79000 EUR XETR
2023-01-23T10:13:54.55Z 156 18.78500 EUR XETR
2023-01-23T10:20:27.45Z 12 18.80500 EUR XETR
2023-01-23T10:20:27.45Z 12 18.80500 EUR XETR
2023-01-23T10:20:27.45Z 109 18.80500 EUR XETR
2023-01-23T10:23:26.81Z 203 18.80000 EUR XETR
2023-01-23T10:23:30.00Z 287 18.79000 EUR XETR
2023-01-23T10:23:44.00Z 181 18.78000 EUR XETR
2023-01-23T10:24:54.29Z 137 18.75500 EUR XETR
2023-01-23T10:24:57.06Z 63 18.75000 EUR XETR
2023-01-23T10:24:57.06Z 110 18.75000 EUR XETR
2023-01-23T10:28:51.82Z 185 18.74500 EUR XETR
2023-01-23T10:29:02.51Z 144 18.74500 EUR XETR
2023-01-23T10:34:31.17Z 17 18.75500 EUR XETR
2023-01-23T10:34:31.17Z 122 18.75500 EUR XETR
2023-01-23T10:35:44.11Z 114 18.75000 EUR XETR
2023-01-23T10:36:04.06Z 166 18.75000 EUR XETR
2023-01-23T10:40:12.27Z 129 18.73500 EUR XETR
2023-01-23T10:41:01.53Z 142 18.73000 EUR XETR
2023-01-23T10:43:51.31Z 17 18.73000 EUR XETR
2023-01-23T10:44:13.37Z 178 18.73000 EUR XETR
2023-01-23T10:44:26.17Z 163 18.73000 EUR XETR
2023-01-23T10:46:32.21Z 283 18.72500 EUR XETR
2023-01-23T10:47:44.36Z 145 18.72000 EUR XETR
2023-01-23T10:50:01.30Z 197 18.73000 EUR XETR
2023-01-23T10:51:43.85Z 155 18.75000 EUR XETR
2023-01-23T10:55:07.95Z 262 18.76500 EUR XETR
2023-01-23T10:58:01.54Z 285 18.76500 EUR XETR
2023-01-23T10:58:50.31Z 135 18.83000 EUR XETR
2023-01-23T11:01:52.17Z 225 18.90500 EUR XETR
2023-01-23T11:03:34.34Z 223 18.86000 EUR XETR
2023-01-23T11:06:05.20Z 143 18.83500 EUR XETR
2023-01-23T11:08:12.25Z 135 18.87000 EUR XETR
2023-01-23T11:10:04.02Z 175 18.90000 EUR XETR
2023-01-23T11:14:46.43Z 147 18.92000 EUR XETR
2023-01-23T11:14:57.75Z 149 18.91000 EUR XETR
2023-01-23T11:18:24.91Z 33 18.88500 EUR XETR
2023-01-23T11:18:24.91Z 183 18.88500 EUR XETR
2023-01-23T11:20:02.63Z 212 18.89500 EUR XETR
2023-01-23T11:23:54.30Z 163 18.91000 EUR XETR
2023-01-23T11:27:09.57Z 195 18.90500 EUR XETR
2023-01-23T11:31:37.11Z 194 18.89500 EUR XETR
2023-01-23T11:33:31.99Z 178 18.90500 EUR XETR
2023-01-23T11:35:16.46Z 164 18.89500 EUR XETR
2023-01-23T11:37:34.73Z 143 18.89000 EUR XETR
2023-01-23T11:41:48.82Z 144 18.89000 EUR XETR
2023-01-23T11:43:10.75Z 65 18.90500 EUR XETR
2023-01-23T11:43:20.15Z 80 18.90500 EUR XETR
2023-01-23T11:43:20.17Z 38 18.90500 EUR XETR
2023-01-23T11:43:59.52Z 172 18.91000 EUR XETR
2023-01-23T11:44:28.72Z 138 18.91000 EUR XETR
2023-01-23T11:48:50.78Z 19 18.94500 EUR XETR
2023-01-23T11:49:29.18Z 169 18.96000 EUR XETR
2023-01-23T11:50:03.80Z 149 18.95000 EUR XETR
2023-01-23T11:50:03.81Z 145 18.94500 EUR XETR
2023-01-23T11:50:23.65Z 128 18.95000 EUR XETR
2023-01-23T11:51:15.99Z 92 18.92000 EUR XETR
2023-01-23T11:51:16.00Z 148 18.92000 EUR XETR
2023-01-23T11:57:13.20Z 226 18.91000 EUR XETR
2023-01-23T11:59:45.92Z 158 18.94000 EUR XETR
2023-01-23T12:05:09.83Z 70 18.94500 EUR XETR
2023-01-23T12:05:11.27Z 147 18.94500 EUR XETR
2023-01-23T12:05:11.29Z 180 18.94500 EUR XETR
2023-01-23T12:05:54.11Z 174 18.93500 EUR XETR
2023-01-23T12:09:00.10Z 154 18.95000 EUR XETR
2023-01-23T12:09:34.75Z 216 18.95500 EUR XETR
2023-01-23T12:11:48.30Z 154 18.95500 EUR XETR
2023-01-23T12:12:46.13Z 171 18.97500 EUR XETR
2023-01-23T12:17:13.74Z 131 18.93500 EUR XETR
2023-01-23T12:18:15.41Z 61 18.93500 EUR XETR
2023-01-23T12:18:15.41Z 181 18.93500 EUR XETR
2023-01-23T12:22:18.88Z 156 18.91000 EUR XETR
2023-01-23T12:26:58.51Z 142 18.91500 EUR XETR
2023-01-23T12:27:09.78Z 152 18.91500 EUR XETR
2023-01-23T12:33:59.51Z 194 18.95500 EUR XETR
2023-01-23T12:33:59.51Z 200 18.97000 EUR XETR
2023-01-23T12:36:39.74Z 135 18.95000 EUR XETR
2023-01-23T12:38:40.14Z 138 18.95000 EUR XETR
2023-01-23T12:40:07.15Z 150 18.93000 EUR XETR
2023-01-23T12:42:54.56Z 226 18.94500 EUR XETR
2023-01-23T12:45:37.69Z 21 18.95000 EUR XETR
2023-01-23T12:45:37.72Z 204 18.95000 EUR XETR
2023-01-23T12:47:01.08Z 159 18.93500 EUR XETR
2023-01-23T12:49:17.24Z 144 18.92500 EUR XETR
2023-01-23T12:51:38.84Z 158 18.92500 EUR XETR
2023-01-23T12:52:50.61Z 133 18.94000 EUR XETR
2023-01-23T12:54:52.91Z 160 18.92500 EUR XETR
2023-01-23T12:57:52.51Z 50 18.93000 EUR XETR
2023-01-23T12:57:52.51Z 80 18.93000 EUR XETR
2023-01-23T13:00:31.03Z 167 18.92500 EUR XETR
2023-01-23T13:04:31.60Z 231 18.94500 EUR XETR
2023-01-23T13:05:03.53Z 159 18.94500 EUR XETR
2023-01-23T13:05:31.51Z 286 18.93000 EUR XETR
2023-01-23T13:05:34.85Z 34 18.92500 EUR XETR
Frei verwendbar 2023-01-23T13:05:34.85Z 168 18.92500 EUR XETR
2023-01-23T13:07:17.17Z 29 18.91500 EUR XETR
2023-01-23T13:07:17.55Z 99 18.91500 EUR XETR
2023-01-23T13:08:04.64Z 52 18.94000 EUR XETR
2023-01-23T13:08:04.64Z 154 18.94000 EUR XETR
2023-01-23T13:10:17.23Z 205 18.94500 EUR XETR
2023-01-23T13:13:58.66Z 165 18.96000 EUR XETR
2023-01-23T13:18:17.15Z 258 19.01000 EUR XETR
2023-01-23T13:18:52.03Z 195 19.05500 EUR XETR
2023-01-23T13:19:14.45Z 288 19.05500 EUR XETR
2023-01-23T13:20:39.76Z 89 19.03500 EUR XETR
2023-01-23T13:20:39.77Z 56 19.03500 EUR XETR
2023-01-23T13:21:49.24Z 130 19.01000 EUR XETR
2023-01-23T13:24:01.83Z 105 19.00500 EUR XETR
2023-01-23T13:26:23.07Z 136 19.01500 EUR XETR
2023-01-23T13:26:51.35Z 109 19.01500 EUR XETR
2023-01-23T13:26:51.35Z 124 19.01500 EUR XETR
2023-01-23T13:27:49.11Z 14 19.00500 EUR XETR
2023-01-23T13:27:49.11Z 118 19.00500 EUR XETR
2023-01-23T13:29:24.83Z 222 19.00000 EUR XETR
2023-01-23T13:30:27.47Z 133 18.99500 EUR XETR
2023-01-23T13:30:49.03Z 183 18.99500 EUR XETR
2023-01-23T13:31:04.13Z 294 18.98500 EUR XETR
2023-01-23T13:31:41.53Z 276 18.99500 EUR XETR
2023-01-23T13:35:45.20Z 43 19.05000 EUR XETR
2023-01-23T13:36:32.66Z 298 19.05000 EUR XETR
2023-01-23T13:36:34.96Z 138 19.06500 EUR XETR
2023-01-23T13:36:34.96Z 174 19.06500 EUR XETR
2023-01-23T13:36:42.50Z 19 19.05000 EUR XETR
2023-01-23T13:36:42.50Z 200 19.05000 EUR XETR
2023-01-23T13:39:01.37Z 135 19.07000 EUR XETR
2023-01-23T13:41:44.87Z 224 19.08000 EUR XETR
2023-01-23T13:42:19.67Z 266 19.08000 EUR XETR
2023-01-23T13:42:19.69Z 34 19.08000 EUR XETR
2023-01-23T13:42:48.70Z 212 19.09000 EUR XETR
2023-01-23T13:45:05.36Z 244 19.07500 EUR XETR
2023-01-23T13:45:12.13Z 128 19.07000 EUR XETR
2023-01-23T13:46:58.83Z 185 19.06500 EUR XETR
2023-01-23T13:48:29.83Z 131 19.05500 EUR XETR
2023-01-23T13:50:57.32Z 257 19.05500 EUR XETR
2023-01-23T13:51:28.74Z 209 19.04000 EUR XETR
2023-01-23T13:53:09.62Z 84 19.05500 EUR XETR
2023-01-23T13:53:09.65Z 44 19.05500 EUR XETR
2023-01-23T13:53:51.67Z 134 19.02500 EUR XETR
2023-01-23T13:55:22.10Z 145 19.03500 EUR XETR
2023-01-23T13:56:40.49Z 118 18.99500 EUR XETR
2023-01-23T13:57:36.82Z 139 18.99500 EUR XETR
2023-01-23T13:59:58.72Z 51 19.03500 EUR XETR
2023-01-23T14:00:00.37Z 133 19.03500 EUR XETR
2023-01-23T14:00:59.45Z 34 19.03000 EUR XETR
2023-01-23T14:00:59.46Z 197 19.03000 EUR XETR
2023-01-23T14:02:04.03Z 158 19.03000 EUR XETR
2023-01-23T14:02:23.34Z 146 19.03000 EUR XETR
2023-01-23T14:03:02.55Z 18 19.02000 EUR XETR
2023-01-23T14:03:02.55Z 117 19.02000 EUR XETR
2023-01-23T14:04:52.68Z 173 18.99000 EUR XETR
2023-01-23T14:06:18.71Z 148 19.00000 EUR XETR
2023-01-23T14:07:07.26Z 136 18.99500 EUR XETR
2023-01-23T14:08:10.84Z 137 18.98500 EUR XETR
2023-01-23T14:10:25.23Z 144 18.97500 EUR XETR
2023-01-23T14:10:25.25Z 133 18.96500 EUR XETR
2023-01-23T14:12:52.72Z 65 18.99500 EUR XETR
2023-01-23T14:12:52.72Z 84 18.99500 EUR XETR
2023-01-23T14:14:02.74Z 76 18.98500 EUR XETR
2023-01-23T14:14:02.74Z 234 18.98500 EUR XETR
2023-01-23T14:14:40.56Z 137 18.98000 EUR XETR
2023-01-23T14:15:50.92Z 42 18.97000 EUR XETR
2023-01-23T14:16:00.01Z 161 18.97000 EUR XETR
2023-01-23T14:18:17.29Z 133 18.97500 EUR XETR
2023-01-23T14:19:07.62Z 180 18.97500 EUR XETR
2023-01-23T14:19:56.84Z 81 18.96000 EUR XETR
2023-01-23T14:19:58.64Z 48 18.96000 EUR XETR
2023-01-23T14:20:08.32Z 131 18.95500 EUR XETR
2023-01-23T14:25:05.80Z 74 18.98000 EUR XETR
2023-01-23T14:27:00.03Z 130 18.98000 EUR XETR
2023-01-23T14:27:46.92Z 245 18.97500 EUR XETR
2023-01-23T14:30:08.84Z 176 18.97000 EUR XETR
2023-01-23T14:30:11.86Z 286 18.96500 EUR XETR
2023-01-23T14:30:12.73Z 1 18.96500 EUR XETR
2023-01-23T14:30:28.38Z 63 18.96500 EUR XETR
2023-01-23T14:30:49.77Z 156 18.96500 EUR XETR
2023-01-23T14:31:04.93Z 182 18.96500 EUR XETR
2023-01-23T14:31:10.97Z 107 18.96500 EUR XETR
2023-01-23T14:31:10.97Z 192 18.96500 EUR XETR
2023-01-23T14:31:51.47Z 129 18.98000 EUR XETR
2023-01-23T14:32:42.38Z 137 18.98500 EUR XETR
2023-01-23T14:33:48.57Z 131 18.97000 EUR XETR
2023-01-23T14:33:54.83Z 164 18.96500 EUR XETR
2023-01-23T14:34:31.47Z 56 18.96500 EUR XETR
2023-01-23T14:34:31.47Z 75 18.96500 EUR XETR
2023-01-23T14:35:28.38Z 178 18.98500 EUR XETR
2023-01-23T14:36:08.75Z 170 18.98000 EUR XETR
2023-01-23T14:36:22.72Z 164 18.97500 EUR XETR
2023-01-23T14:38:39.36Z 203 18.99000 EUR XETR
2023-01-23T14:38:57.88Z 140 18.99000 EUR XETR
2023-01-23T14:39:59.89Z 204 18.99500 EUR XETR
2023-01-23T14:40:44.66Z 318 19.01500 EUR XETR
2023-01-23T14:42:46.84Z 292 19.04500 EUR XETR
2023-01-23T14:42:55.02Z 278 19.06000 EUR XETR
2023-01-23T14:43:13.52Z 162 19.06000 EUR XETR
2023-01-23T14:44:41.86Z 81 19.05000 EUR XETR
2023-01-23T14:44:41.86Z 116 19.05000 EUR XETR
2023-01-23T14:44:56.55Z 192 19.04500 EUR XETR
2023-01-23T14:46:11.11Z 156 19.05000 EUR XETR
2023-01-23T14:46:11.13Z 164 19.05000 EUR XETR
Frei verwendbar 2023-01-23T14:46:34.85Z 164 19.04500 EUR XETR
2023-01-23T14:47:51.09Z 250 19.06000 EUR XETR
2023-01-23T14:48:09.61Z 33 19.05500 EUR XETR
2023-01-23T14:48:09.61Z 160 19.05500 EUR XETR
2023-01-23T14:48:43.50Z 152 19.04500 EUR XETR
2023-01-23T14:50:28.44Z 234 19.05000 EUR XETR
2023-01-23T14:51:17.43Z 269 19.05500 EUR XETR
2023-01-23T14:52:08.92Z 240 19.07000 EUR XETR
2023-01-23T14:53:34.93Z 178 19.07000 EUR XETR
2023-01-23T14:54:30.09Z 210 19.07500 EUR XETR
2023-01-23T14:55:24.33Z 54 19.07000 EUR XETR
2023-01-23T14:56:26.00Z 315 19.07000 EUR XETR
2023-01-23T14:56:26.55Z 139 19.06500 EUR XETR
2023-01-23T14:56:32.33Z 452 19.05500 EUR XETR
2023-01-23T14:57:33.33Z 151 19.05000 EUR XETR
2023-01-23T14:57:50.66Z 132 19.04000 EUR XETR
2023-01-23T14:57:58.93Z 211 19.04000 EUR XETR
2023-01-23T15:00:42.91Z 20 19.06000 EUR XETR
2023-01-23T15:01:17.99Z 63 19.07000 EUR XETR
2023-01-23T15:01:17.99Z 145 19.07000 EUR XETR
2023-01-23T15:02:01.07Z 65 19.07000 EUR XETR
2023-01-23T15:02:27.92Z 275 19.07000 EUR XETR
2023-01-23T15:03:31.21Z 19 19.07000 EUR XETR
2023-01-23T15:03:31.21Z 270 19.07000 EUR XETR
2023-01-23T15:04:13.59Z 293 19.07000 EUR XETR
2023-01-23T15:04:42.18Z 17 19.06000 EUR XETR
2023-01-23T15:05:22.02Z 26 19.07500 EUR XETR
2023-01-23T15:05:22.02Z 279 19.07500 EUR XETR
2023-01-23T15:05:23.59Z 10 19.07000 EUR XETR
2023-01-23T15:05:25.19Z 136 19.07000 EUR XETR
2023-01-23T15:05:35.10Z 237 19.06000 EUR XETR
2023-01-23T15:06:38.03Z 145 19.05500 EUR XETR
2023-01-23T15:06:48.02Z 155 19.05000 EUR XETR
2023-01-23T15:08:55.19Z 35 19.05000 EUR XETR
2023-01-23T15:08:55.19Z 123 19.05000 EUR XETR
2023-01-23T15:08:55.20Z 150 19.04500 EUR XETR
2023-01-23T15:09:10.00Z 132 19.03000 EUR XETR
2023-01-23T15:09:10.00Z 189 19.04000 EUR XETR
2023-01-23T15:09:18.22Z 128 19.01500 EUR XETR
2023-01-23T15:09:39.84Z 203 19.01000 EUR XETR
2023-01-23T15:10:16.38Z 255 19.00500 EUR XETR
2023-01-23T15:10:37.81Z 183 19.01500 EUR XETR
2023-01-23T15:11:21.87Z 162 19.01000 EUR XETR
2023-01-23T15:12:06.92Z 40 19.01500 EUR XETR
2023-01-23T15:12:06.92Z 95 19.01500 EUR XETR
2023-01-23T15:12:16.30Z 134 19.01000 EUR XETR
2023-01-23T15:12:39.87Z 229 19.01500 EUR XETR
2023-01-23T15:13:59.30Z 263 19.01000 EUR XETR
2023-01-23T15:15:02.81Z 55 19.00500 EUR XETR
2023-01-23T15:15:02.81Z 96 19.00500 EUR XETR
2023-01-23T15:16:11.49Z 140 19.00500 EUR XETR
2023-01-23T15:17:09.81Z 46 19.01500 EUR XETR
2023-01-23T15:17:52.95Z 232 19.01500 EUR XETR
2023-01-23T15:21:01.85Z 235 19.06000 EUR XETR
2023-01-23T15:22:14.13Z 41 19.08000 EUR XETR
