Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 04Apr23 XETR 69,127 21.18250 EUR XETR
2023-04-04T07:02:05.14Z 123 21.29000 EUR XETR
2023-04-04T07:03:57.83Z 120 21.24000 EUR XETR
2023-04-04T07:04:06.48Z 135 21.23000 EUR XETR
2023-04-04T07:04:20.77Z 166 21.23000 EUR XETR
2023-04-04T07:04:41.06Z 154 21.22000 EUR XETR
2023-04-04T07:05:45.82Z 134 21.26000 EUR XETR
2023-04-04T07:06:37.33Z 164 21.32000 EUR XETR
2023-04-04T07:06:49.28Z 96 21.28000 EUR XETR
2023-04-04T07:08:34.04Z 102 21.24000 EUR XETR
2023-04-04T07:10:22.81Z 132 21.18000 EUR XETR
2023-04-04T07:10:22.82Z 170 21.17000 EUR XETR
2023-04-04T07:11:51.74Z 160 21.13000 EUR XETR
2023-04-04T07:13:20.47Z 145 21.12000 EUR XETR
2023-04-04T07:13:27.49Z 141 21.11000 EUR XETR
2023-04-04T07:13:29.36Z 167 21.11000 EUR XETR
2023-04-04T07:15:10.43Z 100 21.08000 EUR XETR
2023-04-04T07:15:11.23Z 2 21.08000 EUR XETR
2023-04-04T07:15:11.24Z 218 21.08000 EUR XETR
2023-04-04T07:17:27.74Z 114 21.08000 EUR XETR
2023-04-04T07:18:40.84Z 111 21.02000 EUR XETR
2023-04-04T07:18:58.28Z 165 21.01000 EUR XETR
2023-04-04T07:19:08.70Z 154 21.02000 EUR XETR
2023-04-04T07:20:37.01Z 112 21.06000 EUR XETR
2023-04-04T07:22:06.93Z 98 21.05000 EUR XETR
2023-04-04T07:22:15.35Z 155 21.06000 EUR XETR
2023-04-04T07:22:19.94Z 103 21.06000 EUR XETR
2023-04-04T07:24:03.06Z 122 21.08000 EUR XETR
2023-04-04T07:24:03.07Z 116 21.08000 EUR XETR
2023-04-04T07:25:41.62Z 115 21.05000 EUR XETR
2023-04-04T07:26:32.73Z 101 21.00000 EUR XETR
2023-04-04T07:29:16.15Z 152 21.03000 EUR XETR
2023-04-04T07:29:32.66Z 187 21.03000 EUR XETR
2023-04-04T07:30:08.18Z 78 21.01000 EUR XETR
2023-04-04T07:30:08.18Z 169 21.01000 EUR XETR
2023-04-04T07:31:56.59Z 174 21.01000 EUR XETR
2023-04-04T07:32:46.82Z 163 21.05000 EUR XETR
2023-04-04T07:36:25.14Z 145 21.03000 EUR XETR
2023-04-04T07:39:14.74Z 132 21.05000 EUR XETR
2023-04-04T07:39:14.76Z 196 21.05000 EUR XETR
2023-04-04T07:41:59.97Z 128 21.05000 EUR XETR
2023-04-04T07:42:34.02Z 144 21.07000 EUR XETR
2023-04-04T07:45:19.38Z 146 21.10000 EUR XETR
2023-04-04T07:48:36.01Z 126 21.09000 EUR XETR
2023-04-04T07:52:41.97Z 118 21.07000 EUR XETR
2023-04-04T07:52:42.00Z 119 21.06000 EUR XETR
2023-04-04T07:52:48.70Z 184 21.03000 EUR XETR
2023-04-04T07:55:21.98Z 149 21.05000 EUR XETR
2023-04-04T07:55:31.00Z 176 21.04000 EUR XETR
2023-04-04T07:57:53.58Z 122 21.08000 EUR XETR
2023-04-04T07:58:05.05Z 176 21.08000 EUR XETR
2023-04-04T07:58:37.19Z 104 21.07000 EUR XETR
2023-04-04T07:59:23.74Z 198 21.06000 EUR XETR
2023-04-04T08:01:47.16Z 110 21.06000 EUR XETR
2023-04-04T08:05:15.70Z 116 21.10000 EUR XETR
2023-04-04T08:09:02.07Z 254 21.13000 EUR XETR
2023-04-04T08:09:25.52Z 158 21.11000 EUR XETR
2023-04-04T08:09:42.85Z 128 21.11000 EUR XETR
2023-04-04T08:11:50.67Z 96 21.12000 EUR XETR
2023-04-04T08:13:57.50Z 139 21.14000 EUR XETR
2023-04-04T08:14:13.12Z 148 21.13000 EUR XETR
2023-04-04T08:16:08.52Z 185 21.14000 EUR XETR
2023-04-04T08:17:47.30Z 116 21.13000 EUR XETR
2023-04-04T08:19:32.01Z 52 21.13000 EUR XETR
2023-04-04T08:19:32.01Z 62 21.13000 EUR XETR
2023-04-04T08:20:24.53Z 18 21.14000 EUR XETR
2023-04-04T08:20:24.53Z 100 21.14000 EUR XETR
2023-04-04T08:22:28.85Z 143 21.16000 EUR XETR
