Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 26Jan23 XETR 76,500 18.80255 EUR XETR
2023-01-26T08:01:14.50Z 213 18.83000 EUR XETR
2023-01-26T08:02:00.16Z 176 18.72000 EUR XETR
2023-01-26T08:06:26.23Z 69 18.73500 EUR XETR
2023-01-26T08:06:26.23Z 102 18.73500 EUR XETR
2023-01-26T08:06:50.04Z 183 18.75000 EUR XETR
2023-01-26T08:06:50.04Z 235 18.75000 EUR XETR
2023-01-26T08:07:29.57Z 155 18.73000 EUR XETR
2023-01-26T08:07:53.25Z 32 18.72500 EUR XETR
2023-01-26T08:07:58.38Z 305 18.72500 EUR XETR
2023-01-26T08:08:01.31Z 138 18.72000 EUR XETR
2023-01-26T08:08:20.12Z 251 18.72500 EUR XETR
2023-01-26T08:09:00.17Z 135 18.66000 EUR XETR
2023-01-26T08:09:46.46Z 130 18.66500 EUR XETR
2023-01-26T08:10:03.98Z 135 18.67000 EUR XETR
2023-01-26T08:10:39.72Z 171 18.66000 EUR XETR
2023-01-26T08:11:03.39Z 10 18.68500 EUR XETR
2023-01-26T08:11:04.13Z 121 18.68500 EUR XETR
2023-01-26T08:11:35.54Z 129 18.67000 EUR XETR
2023-01-26T08:11:55.04Z 154 18.66000 EUR XETR
2023-01-26T08:12:34.23Z 132 18.67000 EUR XETR
2023-01-26T08:13:03.57Z 42 18.66000 EUR XETR
2023-01-26T08:13:03.57Z 196 18.66000 EUR XETR
2023-01-26T08:13:38.46Z 132 18.65000 EUR XETR
2023-01-26T08:14:24.06Z 79 18.66500 EUR XETR
2023-01-26T08:14:24.06Z 113 18.66500 EUR XETR
2023-01-26T08:14:57.62Z 163 18.64500 EUR XETR
2023-01-26T08:15:43.63Z 129 18.59000 EUR XETR
2023-01-26T08:16:24.49Z 149 18.60500 EUR XETR
2023-01-26T08:17:42.25Z 40 18.58500 EUR XETR
2023-01-26T08:17:42.25Z 116 18.58500 EUR XETR
2023-01-26T08:19:05.49Z 272 18.62000 EUR XETR
2023-01-26T08:19:45.65Z 206 18.62000 EUR XETR
2023-01-26T08:20:35.98Z 127 18.62500 EUR XETR
2023-01-26T08:21:09.54Z 161 18.61500 EUR XETR
2023-01-26T08:22:11.79Z 130 18.60000 EUR XETR
2023-01-26T08:22:31.66Z 233 18.59000 EUR XETR
2023-01-26T08:23:25.19Z 129 18.57500 EUR XETR
2023-01-26T08:24:37.66Z 28 18.59000 EUR XETR
2023-01-26T08:24:38.17Z 103 18.59000 EUR XETR
2023-01-26T08:24:43.00Z 128 18.58500 EUR XETR
2023-01-26T08:25:40.51Z 130 18.57500 EUR XETR
2023-01-26T08:25:51.40Z 137 18.56500 EUR XETR
2023-01-26T08:27:08.78Z 144 18.56500 EUR XETR
2023-01-26T08:27:10.48Z 162 18.55500 EUR XETR
2023-01-26T08:28:41.41Z 273 18.57000 EUR XETR
2023-01-26T08:30:09.69Z 127 18.54500 EUR XETR
2023-01-26T08:31:12.81Z 176 18.58500 EUR XETR
2023-01-26T08:31:12.83Z 203 18.58500 EUR XETR
2023-01-26T08:32:10.90Z 190 18.55000 EUR XETR
2023-01-26T08:35:49.92Z 221 18.62000 EUR XETR
2023-01-26T08:37:26.13Z 413 18.67500 EUR XETR
2023-01-26T08:37:30.60Z 172 18.66000 EUR XETR
2023-01-26T08:37:30.62Z 174 18.66000 EUR XETR
2023-01-26T08:38:00.47Z 307 18.64500 EUR XETR
2023-01-26T08:39:35.16Z 127 18.63500 EUR XETR
2023-01-26T08:39:59.46Z 171 18.63500 EUR XETR
2023-01-26T08:39:59.48Z 140 18.63500 EUR XETR
2023-01-26T08:41:26.91Z 141 18.66500 EUR XETR
2023-01-26T08:41:26.92Z 241 18.66500 EUR XETR
2023-01-26T08:42:28.97Z 128 18.72500 EUR XETR
2023-01-26T08:43:59.85Z 145 18.71000 EUR XETR
2023-01-26T08:44:29.08Z 127 18.70500 EUR XETR
2023-01-26T08:45:36.87Z 23 18.65000 EUR XETR
2023-01-26T08:45:37.99Z 107 18.65000 EUR XETR
2023-01-26T08:46:41.62Z 186 18.66000 EUR XETR
2023-01-26T08:48:19.91Z 183 18.64500 EUR XETR
2023-01-26T08:49:53.97Z 199 18.66000 EUR XETR
2023-01-26T08:51:02.60Z 68 18.68500 EUR XETR
2023-01-26T08:51:02.60Z 115 18.68500 EUR XETR
2023-01-26T08:51:38.59Z 181 18.68000 EUR XETR
2023-01-26T08:51:38.61Z 133 18.68000 EUR XETR
2023-01-26T08:53:57.55Z 174 18.69000 EUR XETR
2023-01-26T08:54:21.39Z 145 18.71000 EUR XETR
2023-01-26T08:55:12.28Z 131 18.68500 EUR XETR
2023-01-26T08:55:50.10Z 127 18.66500 EUR XETR
2023-01-26T08:56:35.79Z 219 18.66500 EUR XETR
2023-01-26T08:59:24.95Z 159 18.67000 EUR XETR
2023-01-26T08:59:31.55Z 163 18.66500 EUR XETR
2023-01-26T09:01:46.24Z 126 18.69000 EUR XETR
2023-01-26T09:02:59.64Z 200 18.68500 EUR XETR
2023-01-26T09:07:01.57Z 485 18.73500 EUR XETR
2023-01-26T09:07:32.82Z 145 18.72000 EUR XETR
2023-01-26T09:09:18.77Z 46 18.72500 EUR XETR
2023-01-26T09:09:18.77Z 157 18.72500 EUR XETR
2023-01-26T09:10:35.01Z 259 18.74000 EUR XETR
2023-01-26T09:10:35.04Z 258 18.74000 EUR XETR
2023-01-26T09:11:35.50Z 30 18.73500 EUR XETR
2023-01-26T09:12:36.58Z 13 18.74500 EUR XETR
2023-01-26T09:12:36.58Z 256 18.74500 EUR XETR
2023-01-26T09:13:12.48Z 22 18.75000 EUR XETR
2023-01-26T09:13:42.16Z 175 18.76500 EUR XETR
2023-01-26T09:13:42.17Z 196 18.76000 EUR XETR
2023-01-26T09:13:46.31Z 114 18.75000 EUR XETR
2023-01-26T09:15:23.07Z 202 18.74000 EUR XETR
2023-01-26T09:16:23.51Z 128 18.72500 EUR XETR
2023-01-26T09:18:25.17Z 183 18.75000 EUR XETR
2023-01-26T09:18:41.77Z 181 18.73500 EUR XETR
2023-01-26T09:21:49.64Z 207 18.74500 EUR XETR
2023-01-26T09:21:56.02Z 275 18.74500 EUR XETR
2023-01-26T09:25:12.75Z 208 18.73000 EUR XETR
