Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 23Mar23 XETR 77,500 19.19009 EUR XETR
2023-03-23T08:01:52.01Z 134 18.88000 EUR XETR
2023-03-23T08:02:24.15Z 202 18.83500 EUR XETR
2023-03-23T08:03:45.01Z 175 18.89500 EUR XETR
2023-03-23T08:05:40.39Z 223 19.01500 EUR XETR
2023-03-23T08:06:40.10Z 125 18.96500 EUR XETR
2023-03-23T08:08:42.01Z 121 19.00000 EUR XETR
2023-03-23T08:09:54.98Z 142 19.04500 EUR XETR
2023-03-23T08:10:06.50Z 130 19.03500 EUR XETR
2023-03-23T08:11:20.41Z 169 19.05000 EUR XETR
2023-03-23T08:11:54.10Z 164 19.05000 EUR XETR
2023-03-23T08:13:05.96Z 128 19.05000 EUR XETR
2023-03-23T08:15:35.02Z 180 19.07000 EUR XETR
2023-03-23T08:16:24.02Z 186 19.06000 EUR XETR
2023-03-23T08:17:26.72Z 137 19.10000 EUR XETR
2023-03-23T08:18:18.12Z 32 19.07500 EUR XETR
2023-03-23T08:18:18.12Z 105 19.07500 EUR XETR
2023-03-23T08:19:46.27Z 192 19.07000 EUR XETR
2023-03-23T08:20:14.06Z 252 19.06500 EUR XETR
2023-03-23T08:20:14.08Z 7 19.06500 EUR XETR
2023-03-23T08:20:39.58Z 112 19.06500 EUR XETR
2023-03-23T08:20:39.59Z 15 19.06500 EUR XETR
2023-03-23T08:20:46.92Z 54 19.05500 EUR XETR
2023-03-23T08:20:46.92Z 75 19.05500 EUR XETR
2023-03-23T08:22:12.52Z 38 19.09500 EUR XETR
2023-03-23T08:22:12.52Z 93 19.09500 EUR XETR
2023-03-23T08:23:30.25Z 164 19.11500 EUR XETR
2023-03-23T08:24:42.97Z 124 19.06000 EUR XETR
2023-03-23T08:27:22.71Z 129 19.05500 EUR XETR
2023-03-23T08:30:43.36Z 138 19.04000 EUR XETR
2023-03-23T08:32:09.52Z 31 19.01500 EUR XETR
2023-03-23T08:32:09.52Z 228 19.01500 EUR XETR
2023-03-23T08:34:18.68Z 144 19.08000 EUR XETR
2023-03-23T08:35:09.54Z 134 19.08000 EUR XETR
2023-03-23T08:38:08.60Z 145 19.04500 EUR XETR
2023-03-23T08:39:47.07Z 12 19.09000 EUR XETR
2023-03-23T08:39:47.07Z 160 19.09000 EUR XETR
2023-03-23T08:41:16.05Z 163 19.11500 EUR XETR
2023-03-23T08:42:15.19Z 129 19.10000 EUR XETR
2023-03-23T08:46:16.26Z 155 19.13000 EUR XETR
2023-03-23T08:47:43.02Z 190 19.14000 EUR XETR
2023-03-23T08:49:32.55Z 6 19.15000 EUR XETR
2023-03-23T08:49:32.55Z 115 19.15000 EUR XETR
2023-03-23T08:50:30.64Z 126 19.16000 EUR XETR
2023-03-23T08:51:40.51Z 132 19.15500 EUR XETR
2023-03-23T08:54:14.67Z 32 19.16000 EUR XETR
2023-03-23T08:54:14.67Z 124 19.16000 EUR XETR
2023-03-23T08:55:35.26Z 142 19.15000 EUR XETR
2023-03-23T08:56:30.27Z 129 19.14000 EUR XETR
2023-03-23T08:58:22.86Z 127 19.13500 EUR XETR
2023-03-23T08:59:35.11Z 53 19.14500 EUR XETR
2023-03-23T08:59:35.11Z 100 19.14500 EUR XETR
2023-03-23T09:01:19.19Z 41 19.11500 EUR XETR
2023-03-23T09:01:19.19Z 163 19.11500 EUR XETR
2023-03-23T09:02:26.28Z 156 19.12000 EUR XETR
2023-03-23T09:04:46.50Z 220 19.11500 EUR XETR
2023-03-23T09:05:48.45Z 213 19.11000 EUR XETR
2023-03-23T09:08:04.35Z 259 19.12500 EUR XETR
2023-03-23T09:09:42.03Z 145 19.11000 EUR XETR
2023-03-23T09:12:12.55Z 157 19.10500 EUR XETR
2023-03-23T09:13:17.90Z 189 19.10500 EUR XETR
2023-03-23T09:13:26.44Z 127 19.10000 EUR XETR
2023-03-23T09:16:33.32Z 169 19.11000 EUR XETR
2023-03-23T09:17:47.64Z 143 19.10500 EUR XETR
2023-03-23T09:19:55.69Z 76 19.09500 EUR XETR
2023-03-23T09:19:55.69Z 80 19.09500 EUR XETR
2023-03-23T09:21:30.65Z 142 19.08000 EUR XETR
2023-03-23T09:22:21.09Z 50 19.07500 EUR XETR
