Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 27Jan23 XETR 76,269 18.96102 EUR XETR
2023-01-27T08:01:20.40Z 221 18.62500 EUR XETR
2023-01-27T08:01:44.24Z 181 18.66000 EUR XETR
2023-01-27T08:01:44.31Z 159 18.65500 EUR XETR
2023-01-27T08:02:19.73Z 177 18.66500 EUR XETR
2023-01-27T08:02:26.72Z 146 18.66000 EUR XETR
2023-01-27T08:02:35.33Z 223 18.61500 EUR XETR
2023-01-27T08:03:04.19Z 236 18.60000 EUR XETR
2023-01-27T08:03:35.31Z 144 18.58500 EUR XETR
2023-01-27T08:04:20.43Z 135 18.58500 EUR XETR
2023-01-27T08:04:28.26Z 206 18.60000 EUR XETR
2023-01-27T08:05:45.64Z 258 18.69500 EUR XETR
2023-01-27T08:05:55.32Z 265 18.66500 EUR XETR
2023-01-27T08:06:08.70Z 139 18.70500 EUR XETR
2023-01-27T08:06:11.09Z 200 18.69500 EUR XETR
2023-01-27T08:07:17.12Z 144 18.72000 EUR XETR
2023-01-27T08:07:32.44Z 240 18.73500 EUR XETR
2023-01-27T08:08:44.50Z 221 18.73500 EUR XETR
2023-01-27T08:09:54.51Z 170 18.74500 EUR XETR
2023-01-27T08:11:30.62Z 133 18.73000 EUR XETR
2023-01-27T08:12:00.06Z 186 18.68000 EUR XETR
2023-01-27T08:14:07.97Z 186 18.74500 EUR XETR
2023-01-27T08:14:17.47Z 157 18.75000 EUR XETR
2023-01-27T08:14:22.46Z 246 18.76500 EUR XETR
2023-01-27T08:16:12.66Z 231 18.78000 EUR XETR
2023-01-27T08:17:03.64Z 131 18.76500 EUR XETR
2023-01-27T08:18:52.09Z 137 18.76000 EUR XETR
2023-01-27T08:20:33.09Z 251 18.74000 EUR XETR
2023-01-27T08:20:55.37Z 130 18.74000 EUR XETR
2023-01-27T08:21:19.06Z 244 18.75500 EUR XETR
2023-01-27T08:22:10.59Z 134 18.74000 EUR XETR
2023-01-27T08:22:29.58Z 242 18.74500 EUR XETR
2023-01-27T08:22:59.30Z 131 18.73000 EUR XETR
2023-01-27T08:23:49.61Z 177 18.77500 EUR XETR
2023-01-27T08:23:54.52Z 202 18.79000 EUR XETR
2023-01-27T08:23:57.36Z 213 18.77500 EUR XETR
2023-01-27T08:24:10.51Z 167 18.75500 EUR XETR
2023-01-27T08:27:51.66Z 140 18.78500 EUR XETR
2023-01-27T08:28:31.54Z 174 18.78000 EUR XETR
2023-01-27T08:29:19.54Z 234 18.77000 EUR XETR
2023-01-27T08:33:53.01Z 242 18.84500 EUR XETR
2023-01-27T08:34:03.56Z 161 18.83000 EUR XETR
2023-01-27T08:34:10.87Z 25 18.82500 EUR XETR
2023-01-27T08:35:13.82Z 208 18.83000 EUR XETR
2023-01-27T08:36:12.12Z 204 18.83500 EUR XETR
2023-01-27T08:36:38.33Z 308 18.84500 EUR XETR
2023-01-27T08:39:17.29Z 312 18.90500 EUR XETR
2023-01-27T08:40:02.95Z 289 18.91000 EUR XETR
2023-01-27T08:41:01.62Z 216 18.92000 EUR XETR
2023-01-27T08:41:11.69Z 151 18.92000 EUR XETR
2023-01-27T08:41:47.46Z 201 18.92000 EUR XETR
2023-01-27T08:42:26.31Z 167 18.94000 EUR XETR
2023-01-27T08:43:49.74Z 156 18.95500 EUR XETR
2023-01-27T08:46:42.73Z 129 18.97000 EUR XETR
2023-01-27T08:46:51.64Z 208 18.97500 EUR XETR
2023-01-27T08:47:40.66Z 50 18.97000 EUR XETR
2023-01-27T08:47:40.66Z 118 18.97000 EUR XETR
2023-01-27T08:47:40.67Z 1 18.97000 EUR XETR
2023-01-27T08:47:40.67Z 85 18.97000 EUR XETR
2023-01-27T08:48:41.18Z 146 18.99500 EUR XETR
2023-01-27T08:51:43.18Z 297 19.07500 EUR XETR
2023-01-27T08:51:59.10Z 31 19.07500 EUR XETR
2023-01-27T08:51:59.10Z 179 19.07500 EUR XETR
2023-01-27T08:52:05.10Z 255 19.07500 EUR XETR
2023-01-27T08:53:55.52Z 170 19.07500 EUR XETR
2023-01-27T08:55:55.28Z 143 19.07500 EUR XETR
2023-01-27T08:56:43.14Z 184 19.06500 EUR XETR
2023-01-27T08:58:20.97Z 143 19.04000 EUR XETR
2023-01-27T08:58:52.90Z 130 19.02000 EUR XETR
2023-01-27T08:59:10.83Z 131 19.01500 EUR XETR
2023-01-27T09:00:28.59Z 199 19.01500 EUR XETR
2023-01-27T09:01:48.45Z 130 19.01000 EUR XETR
2023-01-27T09:03:43.71Z 190 19.02500 EUR XETR
2023-01-27T09:04:24.96Z 188 19.01000 EUR XETR
2023-01-27T09:04:41.17Z 53 19.00000 EUR XETR
2023-01-27T09:04:41.17Z 77 19.00000 EUR XETR
2023-01-27T09:04:52.62Z 134 18.99500 EUR XETR
2023-01-27T09:05:31.60Z 131 18.98500 EUR XETR
2023-01-27T09:07:58.13Z 213 19.00500 EUR XETR
2023-01-27T09:08:07.60Z 206 18.99500 EUR XETR
2023-01-27T09:09:57.07Z 131 19.01000 EUR XETR
2023-01-27T09:10:58.73Z 7 19.05500 EUR XETR
2023-01-27T09:10:58.73Z 170 19.05500 EUR XETR
2023-01-27T09:11:38.73Z 131 19.05000 EUR XETR
2023-01-27T09:12:59.52Z 163 19.06500 EUR XETR
2023-01-27T09:13:39.96Z 163 19.07500 EUR XETR
2023-01-27T09:15:00.57Z 130 19.05000 EUR XETR
2023-01-27T09:16:01.53Z 170 19.05000 EUR XETR
2023-01-27T09:16:21.16Z 138 19.04000 EUR XETR
2023-01-27T09:17:01.30Z 182 19.04000 EUR XETR
2023-01-27T09:17:41.59Z 270 19.06000 EUR XETR
2023-01-27T09:18:38.50Z 196 19.06500 EUR XETR
2023-01-27T09:23:19.14Z 260 19.12500 EUR XETR
2023-01-27T09:23:45.88Z 263 19.12500 EUR XETR
2023-01-27T09:24:58.89Z 84 19.14500 EUR XETR
2023-01-27T09:24:58.89Z 132 19.14500 EUR XETR
2023-01-27T09:25:32.11Z 160 19.17000 EUR XETR
2023-01-27T09:26:46.38Z 308 19.17500 EUR XETR
2023-01-27T09:27:34.14Z 152 19.18500 EUR XETR
2023-01-27T09:29:08.42Z 166 19.22000 EUR XETR
2023-01-27T09:30:17.11Z 141 19.21500 EUR XETR
