Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 25Jan23 XETR 76,500 18.87362 EUR XETR
Frei verwendbar 2023-01-25T09:43:29.89Z 176 18.96500 EUR XETR
2023-01-25T09:44:25.59Z 173 18.98000 EUR XETR
2023-01-25T09:45:34.72Z 146 18.97000 EUR XETR
2023-01-25T09:47:13.80Z 90 18.98000 EUR XETR
2023-01-25T09:47:22.82Z 165 18.98000 EUR XETR
2023-01-25T09:48:48.59Z 250 18.96000 EUR XETR
2023-01-25T09:50:04.06Z 6 18.95000 EUR XETR
2023-01-25T09:50:04.06Z 145 18.95000 EUR XETR
2023-01-25T09:51:04.20Z 133 18.92000 EUR XETR
2023-01-25T09:52:00.88Z 130 18.91500 EUR XETR
2023-01-25T09:52:57.30Z 202 18.89000 EUR XETR
2023-01-25T09:53:23.68Z 155 18.88500 EUR XETR
2023-01-25T09:54:34.18Z 209 18.85500 EUR XETR
2023-01-25T09:56:03.04Z 225 18.86500 EUR XETR
2023-01-25T09:57:48.45Z 58 18.86500 EUR XETR
2023-01-25T09:57:48.45Z 72 18.86500 EUR XETR
2023-01-25T09:59:28.86Z 239 18.87000 EUR XETR
2023-01-25T10:03:39.62Z 239 18.85500 EUR XETR
2023-01-25T10:03:48.74Z 221 18.85000 EUR XETR
2023-01-25T10:04:53.32Z 238 18.85000 EUR XETR
2023-01-25T10:07:09.81Z 175 18.84000 EUR XETR
2023-01-25T10:07:44.42Z 142 18.82000 EUR XETR
2023-01-25T10:10:16.41Z 129 18.83000 EUR XETR
2023-01-25T10:11:04.05Z 270 18.83500 EUR XETR
2023-01-25T10:11:59.62Z 28 18.82000 EUR XETR
2023-01-25T10:11:59.62Z 102 18.82000 EUR XETR
2023-01-25T10:13:21.71Z 244 18.78500 EUR XETR
2023-01-25T10:16:06.22Z 230 18.76000 EUR XETR
2023-01-25T10:18:07.08Z 150 18.76500 EUR XETR
2023-01-25T10:19:20.92Z 131 18.76500 EUR XETR
2023-01-25T10:20:21.79Z 209 18.76500 EUR XETR
2023-01-25T10:21:41.08Z 129 18.75500 EUR XETR
2023-01-25T10:22:25.13Z 130 18.78500 EUR XETR
2023-01-25T10:23:07.49Z 129 18.77000 EUR XETR
2023-01-25T10:23:50.50Z 33 18.75500 EUR XETR
2023-01-25T10:23:50.50Z 140 18.75500 EUR XETR
2023-01-25T10:25:59.06Z 182 18.71500 EUR XETR
2023-01-25T10:25:59.14Z 179 18.71000 EUR XETR
2023-01-25T10:27:45.74Z 130 18.72500 EUR XETR
2023-01-25T10:28:50.91Z 129 18.73000 EUR XETR
2023-01-25T10:30:01.59Z 182 18.73500 EUR XETR
2023-01-25T10:36:33.12Z 345 18.82500 EUR XETR
2023-01-25T10:36:57.35Z 134 18.82000 EUR XETR
2023-01-25T10:37:52.93Z 112 18.81000 EUR XETR
2023-01-25T10:37:52.93Z 156 18.81000 EUR XETR
2023-01-25T10:37:59.28Z 178 18.81500 EUR XETR
2023-01-25T10:40:09.31Z 154 18.79500 EUR XETR
2023-01-25T10:43:12.12Z 217 18.81500 EUR XETR
2023-01-25T10:43:22.87Z 128 18.81000 EUR XETR
2023-01-25T10:44:18.41Z 131 18.82000 EUR XETR
2023-01-25T10:44:38.13Z 75 18.82000 EUR XETR
2023-01-25T10:46:13.64Z 212 18.82500 EUR XETR
2023-01-25T10:48:05.79Z 110 18.81500 EUR XETR
2023-01-25T10:48:05.79Z 190 18.81500 EUR XETR
2023-01-25T10:49:37.12Z 131 18.82500 EUR XETR
2023-01-25T10:52:20.42Z 183 18.85500 EUR XETR
2023-01-25T10:52:57.80Z 175 18.85500 EUR XETR
2023-01-25T10:57:09.38Z 188 18.90500 EUR XETR
2023-01-25T10:58:15.93Z 309 18.92500 EUR XETR
2023-01-25T11:01:59.77Z 19 18.91000 EUR XETR
2023-01-25T11:01:59.77Z 215 18.91000 EUR XETR
2023-01-25T11:04:41.18Z 201 18.91500 EUR XETR
2023-01-25T11:04:56.15Z 145 18.90500 EUR XETR
2023-01-25T11:06:51.29Z 163 18.91500 EUR XETR
2023-01-25T11:08:31.09Z 141 18.93000 EUR XETR
2023-01-25T11:12:04.94Z 224 18.97500 EUR XETR
2023-01-25T11:12:38.69Z 51 18.96000 EUR XETR
2023-01-25T11:12:38.69Z 111 18.96000 EUR XETR
2023-01-25T11:12:38.70Z 215 18.95000 EUR XETR
2023-01-25T11:16:48.37Z 232 18.96500 EUR XETR
2023-01-25T11:19:11.70Z 227 18.96000 EUR XETR
2023-01-25T11:19:42.41Z 176 18.96000 EUR XETR
2023-01-25T11:22:17.93Z 172 18.97500 EUR XETR
2023-01-25T11:22:17.95Z 219 18.97000 EUR XETR
2023-01-25T11:22:17.96Z 59 18.97000 EUR XETR
2023-01-25T11:22:41.91Z 160 18.97000 EUR XETR
2023-01-25T11:24:30.96Z 63 18.96000 EUR XETR
2023-01-25T11:24:30.96Z 81 18.96000 EUR XETR
2023-01-25T11:28:05.60Z 134 18.98500 EUR XETR
2023-01-25T11:29:54.58Z 189 18.99000 EUR XETR
2023-01-25T11:30:12.06Z 168 18.98500 EUR XETR
2023-01-25T11:32:02.06Z 129 18.98500 EUR XETR
2023-01-25T11:34:15.22Z 81 18.99000 EUR XETR
2023-01-25T11:34:15.22Z 196 18.99000 EUR XETR
2023-01-25T11:35:49.96Z 179 19.00000 EUR XETR
2023-01-25T11:36:06.70Z 150 18.99000 EUR XETR
2023-01-25T11:37:51.18Z 114 18.99000 EUR XETR
2023-01-25T11:38:20.48Z 36 18.99000 EUR XETR
2023-01-25T11:38:20.48Z 105 18.99000 EUR XETR
2023-01-25T11:39:19.01Z 130 18.98500 EUR XETR
2023-01-25T11:41:08.96Z 59 18.98000 EUR XETR
2023-01-25T11:41:08.96Z 90 18.98000 EUR XETR
2023-01-25T11:42:53.10Z 1 18.98000 EUR XETR
2023-01-25T11:42:53.10Z 133 18.98000 EUR XETR
2023-01-25T11:44:03.74Z 19 18.97000 EUR XETR
2023-01-25T11:44:03.74Z 134 18.97000 EUR XETR
