Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 14Apr23 XETR 68,763 21.59070 EUR XETR
2023-04-14T07:01:24.91Z 18 21.46000 EUR XETR
2023-04-14T07:01:24.91Z 78 21.46000 EUR XETR
2023-04-14T07:01:24.92Z 12 21.46000 EUR XETR
2023-04-14T07:02:15.65Z 165 21.50000 EUR XETR
2023-04-14T07:05:51.04Z 201 21.45000 EUR XETR
2023-04-14T07:07:33.79Z 231 21.44000 EUR XETR
2023-04-14T07:09:31.31Z 123 21.44000 EUR XETR
2023-04-14T07:12:33.02Z 111 21.43000 EUR XETR
2023-04-14T07:12:54.60Z 192 21.47000 EUR XETR
2023-04-14T07:14:53.71Z 125 21.45000 EUR XETR
2023-04-14T07:14:57.07Z 140 21.44000 EUR XETR
2023-04-14T07:14:59.29Z 142 21.43000 EUR XETR
2023-04-14T07:15:51.19Z 160 21.42000 EUR XETR
2023-04-14T07:18:09.64Z 122 21.44000 EUR XETR
2023-04-14T07:19:05.24Z 142 21.45000 EUR XETR
2023-04-14T07:19:20.50Z 142 21.45000 EUR XETR
2023-04-14T07:19:38.74Z 141 21.43000 EUR XETR
2023-04-14T07:24:10.66Z 116 21.48000 EUR XETR
2023-04-14T07:24:47.67Z 77 21.46000 EUR XETR
2023-04-14T07:24:47.67Z 124 21.46000 EUR XETR
2023-04-14T07:31:15.90Z 102 21.48000 EUR XETR
2023-04-14T07:32:10.82Z 168 21.45000 EUR XETR
2023-04-14T07:35:29.98Z 154 21.52000 EUR XETR
2023-04-14T07:35:47.62Z 115 21.52000 EUR XETR
2023-04-14T07:35:47.64Z 148 21.52000 EUR XETR
2023-04-14T07:37:21.82Z 109 21.52000 EUR XETR
2023-04-14T07:40:28.25Z 135 21.51000 EUR XETR
2023-04-14T07:43:51.06Z 120 21.49000 EUR XETR
2023-04-14T07:44:46.87Z 104 21.48000 EUR XETR
2023-04-14T07:50:35.25Z 170 21.47000 EUR XETR
2023-04-14T07:50:35.56Z 167 21.46000 EUR XETR
2023-04-14T07:55:10.40Z 179 21.49000 EUR XETR
2023-04-14T07:55:53.80Z 187 21.49000 EUR XETR
2023-04-14T07:57:46.79Z 100 21.46000 EUR XETR
2023-04-14T08:01:29.06Z 188 21.51000 EUR XETR
2023-04-14T08:01:29.08Z 199 21.51000 EUR XETR
2023-04-14T08:02:28.20Z 128 21.51000 EUR XETR
2023-04-14T08:03:18.95Z 106 21.49000 EUR XETR
2023-04-14T08:03:19.06Z 105 21.49000 EUR XETR
2023-04-14T08:05:26.06Z 27 21.49000 EUR XETR
2023-04-14T08:05:26.06Z 189 21.49000 EUR XETR
2023-04-14T08:06:17.07Z 106 21.48000 EUR XETR
2023-04-14T08:08:38.95Z 236 21.50000 EUR XETR
2023-04-14T08:09:44.72Z 161 21.49000 EUR XETR
2023-04-14T08:11:53.60Z 112 21.48000 EUR XETR
2023-04-14T08:14:45.63Z 219 21.47000 EUR XETR
2023-04-14T08:14:45.65Z 126 21.47000 EUR XETR
2023-04-14T08:16:14.43Z 143 21.46000 EUR XETR
2023-04-14T08:16:36.33Z 122 21.45000 EUR XETR
2023-04-14T08:18:07.08Z 123 21.44000 EUR XETR
2023-04-14T08:19:50.77Z 151 21.45000 EUR XETR
2023-04-14T08:19:50.80Z 155 21.44000 EUR XETR
2023-04-14T08:21:56.11Z 108 21.46000 EUR XETR
2023-04-14T08:22:15.72Z 160 21.46000 EUR XETR
2023-04-14T08:22:22.77Z 143 21.46000 EUR XETR
2023-04-14T08:25:13.29Z 143 21.45000 EUR XETR
2023-04-14T08:25:13.29Z 144 21.44000 EUR XETR
2023-04-14T08:25:15.09Z 107 21.43000 EUR XETR
2023-04-14T08:28:12.40Z 132 21.45000 EUR XETR
2023-04-14T08:30:31.56Z 164 21.50000 EUR XETR
2023-04-14T08:30:52.16Z 103 21.48000 EUR XETR
2023-04-14T08:31:36.07Z 100 21.47000 EUR XETR
2023-04-14T08:33:00.12Z 56 21.48000 EUR XETR
2023-04-14T08:33:00.12Z 150 21.48000 EUR XETR
2023-04-14T08:33:55.53Z 102 21.47000 EUR XETR
2023-04-14T08:35:01.22Z 140 21.48000 EUR XETR
2023-04-14T08:39:24.45Z 201 21.50000 EUR XETR
